filename,parent,extent,collectionCallNumber,boxFolder,accessionNumber,masterFilename,dateDigitized,dateCreated,series,title,description,description,contributor,contributor,contributor,subjectTopic,subjectName,subjectPlace,physicalFormat,resourceType,description,donorProvenance,relatedResource,rightsStatement,accessRights,rightsStatus,publisher,publisherHomepage,
ms0414_rec_9045.wav,row: 251,,,350,ms0414_rec_9045,ms0414_rec_9045.wav,,,,"Part 3: Tuyen Lua (Rockets, 1968)",,,,http://id.loc.gov/authorities/names/n82152220,,,,,,,,,,,,,,,
ms0414_rec_9046_9047.wav,row: 251,,,350,ms0414_rec_9046,ms0414_rec_9046_9047.wav,,,,"Part 4: Orchestral Etudes (excerpts: Nine Sets of Seven, Elevator Music, That Funny Feeling, 1975)",,,,http://id.loc.gov/authorities/names/n88602816,,,,,,,,,,,,,,,
ms0414_rec_9048.wav,row: 251,,,350,ms0414_rec_9048,ms0414_rec_9048.wav,,,,Part 5: Devil's Promenade,,,,http://id.loc.gov/authorities/names/n85277083,,,,,,,,,,,,,,,
,row: 3,3 recordings,MS 414,,,,2019,1975-08-22,1975,1975 Cabrillo Music Festival: Concert 6,,,,,,,,http://www.geonames.org/5324400/aptos.html,,http://purl.org/dc/dcmitype/Sound,,Original tape gift of Other Minds.,https://oac.cdlib.org/findaid/ark:/13030/c8wq0984/,,,,,,
ms0414_rec_9049.wav,row: 257,,,350,ms0414_rec_9049,ms0414_rec_9049.wav,,,,"Part 1: Symphony No 7 in C, ""Le Midi""",,,,http://id.loc.gov/authorities/names/n79091193,,,,,,,,,,,,,,,
ms0414_rec_9050.wav,row: 257,,,350,ms0414_rec_9050,ms0414_rec_9050.wav,,,,Part 2: Songs,California Premiere,,,http://id.loc.gov/authorities/names/n88602816,,,,http://www.geonames.org/5324400/aptos.html,,,,,,,,,,,
ms0414_rec_9051_9052.wav,row: 257,,,349,ms0414_rec_9051,ms0414_rec_9051_9052.wav,,,,"Part 3: Symphony No 3 in A, ""Scotch""",,,,,,,,http://www.geonames.org/5324400/aptos.html,,,,,,,,,,,
,row: 3,4 recordings,MS 414,,,,2019,1975-08-23,1975,1975 Cabrillo Music Festival: Concert 7,,,,,,,,https://www.geonames.org/5373728/mission-san-juan-bautista.html,,http://purl.org/dc/dcmitype/Sound,,Original tape gift of Other Minds.,https://oac.cdlib.org/findaid/ark:/13030/c8wq0984/,,,,,,
ms0414_rec_9053.wav,row: 261,,,348,ms0414_rec_9053,ms0414_rec_9053.wav,,,,Part 1: Intro Continuity\; beginning of Introductory lecture,,Performers: Louis Ballard\; Charles Amirkhanian,http://id.loc.gov/authorities/names/n85277083; http://id.loc.gov/authorities/names/n80035691,,,,,,,,,,,,,,,,
ms0414_rec_9054.wav,row: 261,,,348,ms0414_rec_9054,ms0414_rec_9054.wav,,,,Part 2: Continuation of Introductory Lecture by Louis Ballard\; Ritmo Indio for woodwind quintet,,,,http://id.loc.gov/authorities/names/n85277083,,,,,,,,,,,,,,,
ms0414_rec_9055.wav,row: 261,,,350,ms0414_rec_9055,ms0414_rec_9055.wav,,,,"Part 3: Desert Trilogy for string trio, clarinet, Indian flute, trumpet, trombone and three percussionists",,,,http://id.loc.gov/authorities/names/n85277083,,,,,,,,,,,,,,,
ms0414_rec_9056_9057.wav,row: 261,,,350,ms0414_rec_9056,ms0414_rec_9056_9057.wav,,,,Part 4: Cacega Ayuwipi for percussion orchestra,,,,http://id.loc.gov/authorities/names/n85277083,,,,,,,,,,,,,,,
,row: 3,2 recordings,MS 414,,,,2019,1975-08-24,1975,1975 Cabrillo Music Festival: Concert 8,,,,,,,,https://www.geonames.org/5373728/mission-san-juan-bautista.html,,http://purl.org/dc/dcmitype/Sound,,Original tape gift of Other Minds.,https://oac.cdlib.org/findaid/ark:/13030/c8wq0984/,,,,,,
ms0414_rec_9060_9061.wav,row: 266,,,354,ms0414_rec_9060,ms0414_rec_9060_9061.wav,,,,"Part 1: ISHI (Man) ""America's Last Civilized Man""",World Premiere,,,http://id.loc.gov/authorities/names/n85277083,,,,,,,,,,,,,,,
ms0414_rec_9059_9058.wav,row: 266,,,349,ms0414_rec_9059,ms0414_rec_9059_9058.wav,,,,"Part 2: Mass No 7 in C, ""Mass in Time of War""",,Performers: Berkeley Chamber Singers\; Ann Brubacher\; Roberta Bowman\; Mark Hein\; Robert Klang,"http://id.loc.gov/authorities/names/no93002214; Brubacher, Ann; Bowman, Roberta; Hein, Mark; Klang, Robert",http://id.loc.gov/authorities/names/n79091193,,,,,,,,,,,,,,,
,row: 3,6 recordings,MS 414,,,,2019,1975-08-24,1975,1975 Cabrillo Music Festival: Concert 9,,,,,http://id.loc.gov/authorities/names/n86143563,,,https://www.geonames.org/5373728/mission-san-juan-bautista.html,,http://purl.org/dc/dcmitype/Sound,,Original tape gift of Other Minds.,https://oac.cdlib.org/findaid/ark:/13030/c8wq0984/,,,,,,
ms0414_rec_9062_9063.wav,row: 269,,,350,ms0414_rec_9062,ms0414_rec_9062_9063.wav,,,,"Part 1: O Veneranda Trinitas\; Salve Regina\; Officium Epiphaniae Domini\; Hodie Completi Sunt\; Five Songs, Op. 104",,Performers: Berkeley Chamber Singers\; Ann Brubacher\; Roberta Bowman\; Mark Hein\; Robert Klang,"http://id.loc.gov/authorities/names/no93002214; Brubacher, Ann; Bowman, Roberta; Hein, Mark; Klang, Robert",http://id.loc.gov/authorities/names/n82090816; http://id.loc.gov/authorities/names/n80005115; http://id.loc.gov/authorities/names/n81150174; http://id.loc.gov/authorities/names/n79070076; http://id.loc.gov/authorities/names/n79077221,,,,,,,,,,,,,,,
ms0414_rec_9064_1.wav,row: 269,,MS 414,349,ms0414_rec_9064,ms0414_rec_9064_1.wav,,,,Part 2: Let's Touch The Sky (Cummings) Part 1,,Performers: Berkeley Chamber Singers\; Ann Brubacher\; Roberta Bowman\; Mark Hein\; Robert Klang,"http://id.loc.gov/authorities/names/no93002214; Brubacher, Ann; Bowman, Roberta; Hein, Mark; Klang, Robert",http://id.loc.gov/authorities/names/n79116024; http://id.loc.gov/authorities/names/n81132043; http://id.loc.gov/authorities/names/n79021425,,,,,,,,Original tape gift of Other Minds.,https://oac.cdlib.org/findaid/ark:/13030/c8wq0984/,,,,,,
ms0414_rec_9064_2.wav,row: 269,,,349,ms0414_rec_9064,ms0414_rec_9064_2.wav,,,,Part 3: Let's Touch The Sky (Cummings) Part 2,,Performers: Berkeley Chamber Singers\; Ann Brubacher\; Roberta Bowman\; Mark Hein\; Robert Klang,"http://id.loc.gov/authorities/names/no93002214; Brubacher, Ann; Bowman, Roberta; Hein, Mark; Klang, Robert",http://id.loc.gov/authorities/names/n79116024,,,,,,,,,,,,,,,
ms0414_rec_9065_1.wav,row: 269,,MS 414,349,ms0414_rec_9065,ms0414_rec_9065_1.wav,,,,Part 4: Let's Touch The Sky (Cummings) Part 3\; Fantasia (Lorca),,Performers: Berkeley Chamber Singers\; Ann Brubacher\; Roberta Bowman\; Mark Hein\; Robert Klang,"http://id.loc.gov/authorities/names/no93002214; Brubacher, Ann; Bowman, Roberta; Hein, Mark; Klang, Robert",http://id.loc.gov/authorities/names/n79116024; http://id.loc.gov/authorities/names/n81132043,,,,,,,,Original tape gift of Other Minds.,https://oac.cdlib.org/findaid/ark:/13030/c8wq0984/,,,,,,
ms0414_rec_9065_2.wav,row: 269,,,349,ms0414_rec_9065,ms0414_rec_9065_2.wav,,,,"Part 5: Cantata No. 105, ""Herr, gehe nicht ins Gericht"", Part 1",,Performers: Berkeley Chamber Singers\; Ann Brubacher\; Roberta Bowman\; Mark Hein\; Robert Klang,"http://id.loc.gov/authorities/names/no93002214; Brubacher, Ann; Bowman, Roberta; Hein, Mark; Klang, Robert",http://id.loc.gov/authorities/names/n79021425,,,,,,,,,,,,,,,
ms0414_rec_9066.wav,row: 269,,MS 414,348,ms0414_rec_9066,ms0414_rec_9066.wav,,,,"Part 6: Cantata No. 105, ""Herr, gehe nicht ins Gericht"", Part 2",,Performers: Berkeley Chamber Singers\; Ann Brubacher\; Roberta Bowman\; Mark Hein\; Robert Klang,"http://id.loc.gov/authorities/names/no93002214; Brubacher, Ann; Bowman, Roberta; Hein, Mark; Klang, Robert",http://id.loc.gov/authorities/names/n79021425,,,,,,,,Original tape gift of Other Minds.,https://oac.cdlib.org/findaid/ark:/13030/c8wq0984/,,,,,,
,row: 3,5 recordings,MS 414,,,,2019,1976-08-12,1976,1976 Cabrillo Music Festival: Concert 1,,,,,,,,http://www.geonames.org/5393052/santa-cruz.html,,http://purl.org/dc/dcmitype/Sound,,Original tape gift of Other Minds.,https://oac.cdlib.org/findaid/ark:/13030/c8wq0984/,,,,,,
ms0414_rec_9067_1.wav,row: 276,,,355,ms0414_rec_9067,ms0414_rec_9067_1.wav,,,,"Part 1: Violin Sonata No.2, in D Minor, Op. 121",,Performers: Romuald Tecco\; Dennis Russell Davies\; William Bolcom,http://id.loc.gov/authorities/names/n90627613; http://id.loc.gov/authorities/names/n81010514; http://id.loc.gov/authorities/names/n81080002,http://id.loc.gov/authorities/names/n50000565,,,,,,,,,,,,,,,
ms0414_rec_9067_2_9068.wav,row: 276,,,355,ms0414_rec_9067,ms0414_rec_9067_2_9068.wav,,,,Part 2: Saudades do Brasil,,,,http://id.loc.gov/authorities/names/n79109326,,,,,,,,,,,,,,,
ms0414_rec_9069_1.wav,row: 276,,,349,ms0414_rec_9069,ms0414_rec_9069_1.wav,,,,Part 3: Whisper Moon,,Performer: Francis Thorne,http://id.loc.gov/authorities/names/n81146622,http://id.loc.gov/authorities/names/n81080002,,,,,,,,,,,,,,,
ms0414_rec_9069_2.wav,row: 276,,,349,ms0414_rec_9069,ms0414_rec_9069_2.wav,,,,Part 4: Wedgewood Blues,,Performer: Francis Thorne,http://id.loc.gov/authorities/names/n81146622,http://id.loc.gov/authorities/names/n81146622,,,,,,,,,,,,,,,
ms0414_rec_9069_3.wav,row: 276,,,349,ms0414_rec_9069,ms0414_rec_9069_3.wav,,,,Part 5: Set of Duke Ellington Songs,,Performer: Francis Thorne,http://id.loc.gov/authorities/names/n81146622,http://id.loc.gov/authorities/names/n81080002,,,,,,,,,,,,,,,
,row: 3,3 recordings,MS 414,,,,2019,1976-08-13,1976,1976 Cabrillo Music Festival: Concert 2,,,,,,,,http://www.geonames.org/5324400/aptos.html,,http://purl.org/dc/dcmitype/Sound,,Original tape gift of Other Minds.,https://oac.cdlib.org/findaid/ark:/13030/c8wq0984/,,,,,,
ms0414_rec_9070.wav,row: 282,,,353,ms0414_rec_9070,ms0414_rec_9070.wav,,,,"Part 1: Manfred Overture, Op. 115",,,,http://id.loc.gov/authorities/names/n50000565,,,,,,,,,,,,,,,
ms0414_rec_9071_9072.wav,row: 282,,,355,ms0414_rec_9071,ms0414_rec_9071_9072.wav,,,,Part 2: Symphony on G,,,,http://id.loc.gov/authorities/names/n82099801,,,,,,,,,,,,,,,
ms0414_rec_9073_9074.wav,row: 282,,,354,ms0414_rec_9073,ms0414_rec_9073_9074.wav,,,,Part 3: Open House,West Coast Premiere,Performer: Paul Sperry,http://id.loc.gov/authorities/names/n82006565,http://id.loc.gov/authorities/names/n81080002,,,,,,,,,,,,,,,
,row: 3,7 recordings,MS 414,,,,2019,1976-08-14,1976,1976 Cabrillo Music Festival: Concert 3,,,,,,,,http://www.geonames.org/5324400/aptos.html,,http://purl.org/dc/dcmitype/Sound,,Original tape gift of Other Minds.,https://oac.cdlib.org/findaid/ark:/13030/c8wq0984/,,,,,,
ms0414_rec_9075_1.wav,row: 286,,,354,ms0414_rec_9075,ms0414_rec_9075_1.wav,,,,"Part 1: Octet in E-flat for Winds, Op. 103",,,,http://id.loc.gov/authorities/names/n79107741,,,,,,,,,,,,,,,
ms0414_rec_9075_2.wav,row: 286,,,354,ms0414_rec_9075,ms0414_rec_9075_2.wav,,,,Part 2: Octet for Wind Instruments,,,,http://id.loc.gov/authorities/names/n79070061,,,,,,,,,,,,,,,
ms0414_rec_9076_1.wav,row: 286,,,355,ms0414_rec_9076,ms0414_rec_9076_1.wav,,,,Part 3: Bomba,World Premiere of Bomba,Performers: California Institute of the Arts Percussion Ensemble,http://id.loc.gov/authorities/names/n2015003254,http://id.loc.gov/authorities/names/n82099801,,,,,,,,,,,,,,,
ms0414_rec_9076_2.wav,row: 286,,,355,ms0414_rec_9076,ms0414_rec_9076_2.wav,,,,Part 4: Fugue for Percussion,,,,http://id.loc.gov/authorities/names/n82099801,,,,,,,,,,,,,,,
ms0414_rec_9076_3.wav,row: 286,,,355,ms0414_rec_9076,ms0414_rec_9076_3.wav,,,,Part 5: The Year of the Dragon,,,,http://id.loc.gov/authorities/names/nr88010069,,,,,,,,,,,,,,,
ms0414_rec_9077.wav,row: 286,,,355,ms0414_rec_9077,ms0414_rec_9077.wav,,,,"Part 6: 1976 Cabrillo Festival - After the Ball, Turn of the Century Popular Songs, Part 1",Titles unknown,Performers: Joan Morris\; William Bolcom,http://id.loc.gov/authorities/names/n82099779; http://id.loc.gov/authorities/names/n81080002,http://id.loc.gov/authorities/names/n80158665; http://id.loc.gov/authorities/names/n50026116; http://id.loc.gov/authorities/names/n79077265; http://id.loc.gov/authorities/names/n50039880; http://id.loc.gov/authorities/names/n80017862; http://id.loc.gov/authorities/names/n80149466,,,,,,,,,,,,,,,
ms0414_rec_9078.wav,row: 286,,,355,ms0414_rec_9078,ms0414_rec_9078.wav,,,,"Part 7: 1976 Cabrillo Festival - After the Ball, Turn of the Century Popular Songs, Part 2",Titles unknown,Performers: Joan Morris\; William Bolcom,http://id.loc.gov/authorities/names/n82099779; http://id.loc.gov/authorities/names/n81080002,http://id.loc.gov/authorities/names/n80158665; http://id.loc.gov/authorities/names/n50026116; http://id.loc.gov/authorities/names/n79077265; http://id.loc.gov/authorities/names/n50039880; http://id.loc.gov/authorities/names/n80017862; http://id.loc.gov/authorities/names/n80149466,,,,,,,,,,,,,,,
,row: 3,3 recordings,MS 414,,,,2019,1976-08-15,1976,1976 Cabrillo Music Festival: Concert 5,,,,,,,,http://www.geonames.org/5324400/aptos.html,,http://purl.org/dc/dcmitype/Sound,,Original tape gift of Other Minds.,https://oac.cdlib.org/findaid/ark:/13030/c8wq0984/,,,,,,
ms0414_rec_9083_1.wav,row: 294,,,355,ms0414_rec_9083,ms0414_rec_9083_1.wav,,,,"Part 1: Trio for Piano and Strings, in B-flat, Op. 11",,Performers: The San Francisco Trio,http://id.loc.gov/authorities/names/no2017126712,http://id.loc.gov/authorities/names/n79107741,,,,,,,,,,,,,,,
ms0414_rec_9083_2.wav,row: 294,,,355,ms0414_rec_9083,ms0414_rec_9083_2.wav,,,,Part 2: String Quartet No. 4 (United Quartet),,,,http://id.loc.gov/authorities/names/n50077514,,,,,,,,,,,,,,,
ms0414_rec_9084.wav,row: 294,,,349,ms0414_rec_9084,ms0414_rec_9084.wav,,,,"Part 3: Dichterliebe, Op. 48",,Performers: Paul Sperry\; Dennis Russell Davies,http://id.loc.gov/authorities/names/n82006565; http://id.loc.gov/authorities/names/n81010514,http://id.loc.gov/authorities/names/n50000565,,,,,,,,,,,,,,,
,row: 3,5 recordings,MS 414,,,,2019,1976-08-15,1976,1976 Cabrillo Music Festival: Concert 6,,,,,,,,http://www.geonames.org/5324400/aptos.html,,http://purl.org/dc/dcmitype/Sound,,Original tape gift of Other Minds.,https://oac.cdlib.org/findaid/ark:/13030/c8wq0984/,,,,,,
ms0414_rec_9079.wav,row: 298,,,355,ms0414_rec_9079,ms0414_rec_9079.wav,,,,"Part 1: Pelléas et Mélisande Suite, Op. 80",,,,http://id.loc.gov/authorities/names/n81018450,,,,,,,,,,,,,,,
ms0414_rec_9080.wav,row: 298,,,355,ms0414_rec_9080,ms0414_rec_9080.wav,,,,Part 2: Explanation of concerto by Francis Thorne,,,,http://id.loc.gov/authorities/names/n81146622,,,,,,,,,,,,,,,
ms0414_rec_9081.wav,row: 298,,,354,ms0414_rec_9081,ms0414_rec_9081.wav,,,,Part 3: Concerto for Piano and Chamber Orchestra ,West Coast Premiere,Performer: Dennis Russell Davies,http://id.loc.gov/authorities/names/n81010514,http://id.loc.gov/authorities/names/n81146622,,,,,,,,,,,,,,,
ms0414_rec_9082.wav,row: 298,,,354,ms0414_rec_9082,ms0414_rec_9082.wav,,,,Part 4: Pulcinella Suite,,,,http://id.loc.gov/authorities/names/n79070061,,,,,,,,,,,,,,,
ms0414_rec_9085.wav,row: 298,,,355,ms0414_rec_9085,ms0414_rec_9085.wav,,,,Part 5: Seven Pastorales,,,,http://id.loc.gov/authorities/names/n82099801,,,,,,,,,,,,,,,
,row: 3,7 recordings,MS 414,,,,2019,1976-08-19,1976,1976 Cabrillo Music Festival: Concert 7,,,,,,,,http://www.geonames.org/5324400/aptos.html,,http://purl.org/dc/dcmitype/Sound,,Original tape gift of Other Minds.,https://oac.cdlib.org/findaid/ark:/13030/c8wq0984/,,,,,,
ms0414_rec_9086_1.wav,row: 304,,,354,ms0414_rec_9086,ms0414_rec_9086_1.wav,,,,"Part 1: Three Pieces for Drum Quartet: Wake for Charles Ives, Hocket for Henry Cowell, Crystal Canon for Edgar Varèse",,,,http://id.loc.gov/authorities/names/n84148369,,,,,,,,,,,,,,,
ms0414_rec_9086_2.wav,row: 304,,,354,ms0414_rec_9086,ms0414_rec_9086_2.wav,,,,Part 2: Mahogany Ballpark,World Premiere of Amirkhanian piece,,,http://id.loc.gov/authorities/names/n80035691,,,,,,,,,,,,,,,
ms0414_rec_9086_3.wav,row: 304,,,354,ms0414_rec_9086,ms0414_rec_9086_3.wav,,,,Part 3: Five Stanzas for String Orchestra ,,,,http://id.loc.gov/authorities/names/n79060481,,,,,,,,,,,,,,,
ms0414_rec_9087_1.wav,row: 304,,,356,ms0414_rec_9087,ms0414_rec_9087_1.wav,,,,Part 4: Canon & Fugue,,,,http://id.loc.gov/authorities/names/n88636517,,,,,,,,,,,,,,,
ms0414_rec_9087_2.wav,row: 304,,,356,ms0414_rec_9087,ms0414_rec_9087_2.wav,,,,Part 5: No One Cares But Me Anyway,,,,http://id.loc.gov/authorities/names/n78045217,,,,,,,,,,,,,,,
ms0414_rec_9087_3.wav,row: 304,,,356,ms0414_rec_9087,ms0414_rec_9087_3.wav,,,,Part 6: I Could Sit Here All Day,,,,http://id.loc.gov/authorities/names/n78045217,,,,,,,,,,,,,,,
ms0414_rec_9088.wav,row: 304,,,349,ms0414_rec_9088,ms0414_rec_9088.wav,,,,Part 7: Manila Envelope,World Premiere,,,http://id.loc.gov/authorities/names/n2003125214,,,,,,,,,,,,,,,
