parent,extent,masterFilename,series,title,titleAlternative,description,description,descriptionAddress,accessionNumber,creator,publisher,publisherHomepage,resourceType,rightsStatement,rightsHolder,subjectName,subjectPlace,subjectTopic,dateCreated,datePublished,physicalFormat,physicalDescription,accessRights,collection,collectionCallNumber,donorProvenance,boxFolder
row:prev,,ms0020_neg_bp_69-106_07.tif,,"Black Panther Free Breakfast for Children Program, feature for Vi magazine: Untitled",,Unprinted/unpublished,,,ms0020_neg_bp_69-106_07,,,,,,,,,,,,,35 mm,,,,,"Box 454, Folder 69-106"
row:prev,,ms0020_neg_bp_69-105_20.tif,,"Black Panther Free Breakfast for Children Program, feature for Vi magazine: Untitled",,Unprinted/unpublished,,,ms0020_neg_bp_69-105_20,,,,,,,,,,,,,35 mm,,,,,"Box 454, Folder 69-105"
row:prev,,ms0020_neg_bp_69-105_34.tif,,"Black Panther Free Breakfast for Children Program, feature for Vi magazine: Untitled",,Unprinted/unpublished,,,ms0020_neg_bp_69-105_34,,,,,,,,,,,,,35 mm,,,,,"Box 454, Folder 69-105"
row:prev,,ms0020_neg_bp_69-106_21.tif,,"Black Panther Free Breakfast for Children Program, feature for Vi magazine: Untitled",,Unprinted/unpublished,,,ms0020_neg_bp_69-106_21,,,,,,,,,,,,,35 mm,,,,,"Box 454, Folder 69-106"
row:prev,,ms0020_neg_bp_69-105_02.tif,,"Black Panther Free Breakfast for Children Program, feature for Vi magazine: Untitled",,Unprinted/unpublished,,,ms0020_neg_bp_69-105_02,,,,,,,,,,,,,35 mm,,,,,"Box 454, Folder 69-105"
row:prev,,ms0020_neg_bp_69-105_07.tif,,"Black Panther Free Breakfast for Children Program, feature for Vi magazine: Untitled",,Unprinted/unpublished,,,ms0020_neg_bp_69-105_07,,,,,,,,,,,,,35 mm,,,,,"Box 454, Folder 69-105"
row:prev,,ms0020_neg_bp_69-105_08.tif,,"Black Panther Free Breakfast for Children Program, feature for Vi magazine: Untitled",,Unprinted/unpublished,,,ms0020_neg_bp_69-105_08,,,,,,,,,,,,,35 mm,,,,,"Box 454, Folder 69-105"
row:prev,,ms0020_neg_bp_69-106_29.tif,,"Black Panther Free Breakfast for Children Program, feature for Vi magazine: Untitled","Young black boy eating, St. Augustine's Episcopal Church, #137",Printed/published,#137 from A Photographic Essay on The Black Panthers,,ms0020_neg_bp_69-106_29,,,,,,,,,,,1969,,35 mm,,,,,"Box 454, Folder 69-106"
row:prev,,ms0020_neg_bp_69-106_26.tif,,"Black Panther Free Breakfast for Children Program, feature for Vi magazine: Untitled","Boy eating bread, St. Augustine's Episcopal Church, #133",Printed/published,#133 from A Photographic Essay on The Black Panthers,,ms0020_neg_bp_69-106_26,,,,,,,,,,,1969,,35 mm,,,,,"Box 454, Folder 69-106"
row:prev,,ms0020_neg_bp_69-105_04.tif,,"Black Panther Free Breakfast for Children Program, feature for Vi magazine: Untitled",,Unprinted/unpublished,,,ms0020_neg_bp_69-105_04,,,,,,,,,,,,,35 mm,,,,,"Box 454, Folder 69-105"
row:prev,,ms0020_neg_bp_69-105_17.tif,,"Black Panther Free Breakfast for Children Program, feature for Vi magazine: Untitled",,Unprinted/unpublished,,,ms0020_neg_bp_69-105_17,,,,,,,,,,,,,35 mm,,,,,"Box 454, Folder 69-105"
row:prev,,ms0020_neg_bp_69-106_19.tif,,"Black Panther Free Breakfast for Children Program, feature for Vi magazine: Untitled",,Unprinted/unpublished,,,ms0020_neg_bp_69-106_19,,,,,,,,,,,,,35 mm,,,,,"Box 454, Folder 69-106"
row:prev,,ms0020_neg_bp_69-105_10.tif,,"Black Panther Free Breakfast for Children Program, feature for Vi magazine: Untitled",,Unprinted/unpublished,,,ms0020_neg_bp_69-105_10,,,,,,,,,,,,,35 mm,,,,,"Box 454, Folder 69-105"
row:prev,,ms0020_neg_bp_69-106_04.tif,,"Black Panther Free Breakfast for Children Program, feature for Vi magazine: Untitled",,Unprinted/unpublished,,,ms0020_neg_bp_69-106_04,,,,,,,,,,,,,35 mm,,,,,"Box 454, Folder 69-106"
row:prev,,ms0020_neg_bp_69-105_36.tif,,"Black Panther Free Breakfast for Children Program, feature for Vi magazine: Untitled",,Unprinted/unpublished,,,ms0020_neg_bp_69-105_36,,,,,,,,,,,,,35 mm,,,,,"Box 454, Folder 69-105"
row:prev,,ms0020_neg_bp_69-105_12.tif,,"Black Panther Free Breakfast for Children Program, feature for Vi magazine: Untitled",,Unprinted/unpublished,,,ms0020_neg_bp_69-105_12,,,,,,,,,,,,,35 mm,,,,,"Box 454, Folder 69-105"
row:prev,,ms0020_neg_bp_69-105_18.tif,,"Black Panther Free Breakfast for Children Program, feature for Vi magazine: Untitled",,Unprinted/unpublished,,,ms0020_neg_bp_69-105_18,,,,,,,,,,,,,35 mm,,,,,"Box 454, Folder 69-105"
row:prev,,ms0020_neg_bp_69-105_33.tif,,"Black Panther Free Breakfast for Children Program, feature for Vi magazine: Untitled",,Unprinted/unpublished,,,ms0020_neg_bp_69-105_33,,,,,,,,,,,,,35 mm,,,,,"Box 454, Folder 69-105"
row:prev,,ms0020_neg_bp_69-105_11.tif,,"Black Panther Free Breakfast for Children Program, feature for Vi magazine: Untitled","Charles Bursey serving children at Panther breakfast program, St. Augustine's Episcopal Church, #135",Printed/published,#135 from A Photographic Essay on The Black Panthers,,ms0020_neg_bp_69-105_11,,,,,,,,,,,1969,,35 mm,,,,,"Box 454, Folder 69-105"
row:prev,,ms0020_neg_bp_69-106_35.tif,,"Black Panther Free Breakfast for Children Program, feature for Vi magazine: Untitled",,Unprinted/unpublished,,,ms0020_neg_bp_69-106_35,,,,,,,,,,,,,35 mm,,,,,"Box 454, Folder 69-106"
row:prev,,ms0020_neg_bp_69-106_34.tif,,"Black Panther Free Breakfast for Children Program, feature for Vi magazine: Untitled",,Unprinted/unpublished,,,ms0020_neg_bp_69-106_34,,,,,,,,,,,,,35 mm,,,,,"Box 454, Folder 69-106"
row:prev,,ms0020_neg_bp_69-105_01.tif,,"Black Panther Free Breakfast for Children Program, feature for Vi magazine: Untitled",,Unprinted/unpublished,,,ms0020_neg_bp_69-105_01,,,,,,,,,,,,,35 mm,,,,,"Box 454, Folder 69-105"
row:prev,,ms0020_neg_bp_69-106_12.tif,,"Black Panther Free Breakfast for Children Program, feature for Vi magazine: Untitled",,Unprinted/unpublished,,,ms0020_neg_bp_69-106_12,,,,,,,,,,,,,35 mm,,,,,"Box 454, Folder 69-106"
row:prev,,ms0020_neg_bp_69-106_30.tif,,"Black Panther Free Breakfast for Children Program, feature for Vi magazine: Untitled",,Unprinted/unpublished,,,ms0020_neg_bp_69-106_30,,,,,,,,,,,,,35 mm,,,,,"Box 454, Folder 69-106"
row:prev,,ms0020_neg_bp_69-105_15.tif,,"Black Panther Free Breakfast for Children Program, feature for Vi magazine: Untitled",,Unprinted/unpublished,,,ms0020_neg_bp_69-105_15,,,,,,,,,,,,,35 mm,,,,,"Box 454, Folder 69-105"
row:prev,,ms0020_neg_bp_69-106_25.tif,,"Black Panther Free Breakfast for Children Program, feature for Vi magazine: Untitled",,Unprinted/unpublished,,,ms0020_neg_bp_69-106_25,,,,,,,,,,,,,35 mm,,,,,"Box 454, Folder 69-106"
row:prev,,ms0020_neg_bp_69-106_28.tif,,"Black Panther Free Breakfast for Children Program, feature for Vi magazine: Untitled",,Unprinted/unpublished,,,ms0020_neg_bp_69-106_28,,,,,,,,,,,,,35 mm,,,,,"Box 454, Folder 69-106"
row:prev,,ms0020_neg_bp_69-106_36.tif,,"Black Panther Free Breakfast for Children Program, feature for Vi magazine: Untitled",,Unprinted/unpublished,,,ms0020_neg_bp_69-106_36,,,,,,,,,,,,,35 mm,,,,,"Box 454, Folder 69-106"
row:prev,,ms0020_neg_bp_69-106_31.tif,,"Black Panther Free Breakfast for Children Program, feature for Vi magazine: Untitled",,Unprinted/unpublished,,,ms0020_neg_bp_69-106_31,,,,,,,,,,,,,35 mm,,,,,"Box 454, Folder 69-106"
row:prev,,ms0020_neg_bp_69-105_26.tif,,"Black Panther Free Breakfast for Children Program, feature for Vi magazine: Untitled",,Unprinted/unpublished,,,ms0020_neg_bp_69-105_26,,,,,,,,,,,,,35 mm,,,,,"Box 454, Folder 69-105"
row:prev,,ms0020_neg_bp_69-105_14.tif,,"Black Panther Free Breakfast for Children Program, feature for Vi magazine: Untitled",,Unprinted/unpublished,,,ms0020_neg_bp_69-105_14,,,,,,,,,,,,,35 mm,,,,,"Box 454, Folder 69-105"
row:prev,,ms0020_neg_bp_69-105_35.tif,,"Black Panther Free Breakfast for Children Program, feature for Vi magazine: Untitled",,Unprinted/unpublished,,,ms0020_neg_bp_69-105_35,,,,,,,,,,,,,35 mm,,,,,"Box 454, Folder 69-105"
row:prev,,ms0020_neg_bp_69-105_29.tif,,"Black Panther Free Breakfast for Children Program, feature for Vi magazine: Untitled",,Unprinted/unpublished,,,ms0020_neg_bp_69-105_29,,,,,,,,,,,,,35 mm,,,,,"Box 454, Folder 69-105"
row:prev,,ms0020_neg_bp_69-105_23.tif,,"Black Panther Free Breakfast for Children Program, feature for Vi magazine: Untitled",,Unprinted/unpublished,,,ms0020_neg_bp_69-105_23,,,,,,,,,,,,,35 mm,,,,,"Box 454, Folder 69-105"
row:prev,,ms0020_neg_bp_69-105_32.tif,,"Black Panther Free Breakfast for Children Program, feature for Vi magazine: Untitled",,Unprinted/unpublished,,,ms0020_neg_bp_69-105_32,,,,,,,,,,,,,35 mm,,,,,"Box 454, Folder 69-105"
row:prev,,ms0020_neg_bp_69-106_06.tif,,"Black Panther Free Breakfast for Children Program, feature for Vi magazine: Untitled",,Unprinted/unpublished,,,ms0020_neg_bp_69-106_06,,,,,,,,,,,,,35 mm,,,,,"Box 454, Folder 69-106"
row:prev,,ms0020_neg_bp_69-106_16.tif,,"Black Panther Free Breakfast for Children Program, feature for Vi magazine: Untitled",,Unprinted/unpublished,,,ms0020_neg_bp_69-106_16,,,,,,,,,,,,,35 mm,,,,,"Box 454, Folder 69-106"
row:prev,,ms0020_neg_bp_69-105_30.tif,,"Black Panther Free Breakfast for Children Program, feature for Vi magazine: Untitled",,Unprinted/unpublished,,,ms0020_neg_bp_69-105_30,,,,,,,,,,,,,35 mm,,,,,"Box 454, Folder 69-105"
row:prev,,ms0020_neg_bp_69-105_31.tif,,"Black Panther Free Breakfast for Children Program, feature for Vi magazine: Untitled",,Unprinted/unpublished,,,ms0020_neg_bp_69-105_31,,,,,,,,,,,,,35 mm,,,,,"Box 454, Folder 69-105"
row:prev,,ms0020_neg_bp_69-106_27.tif,,"Black Panther Free Breakfast for Children Program, feature for Vi magazine: Untitled",,Unprinted/unpublished,,,ms0020_neg_bp_69-106_27,,,,,,,,,,,,,35 mm,,,,,"Box 454, Folder 69-106"
row:prev,,ms0020_neg_bp_69-106_20.tif,,"Black Panther Free Breakfast for Children Program, feature for Vi magazine: Untitled",,Unprinted/unpublished,,,ms0020_neg_bp_69-106_20,,,,,,,,,,,,,35 mm,,,,,"Box 454, Folder 69-106"
row:prev,,ms0020_neg_bp_69-106_10.tif,,"Black Panther Free Breakfast for Children Program, feature for Vi magazine: Untitled",,Unprinted/unpublished,,,ms0020_neg_bp_69-106_10,,,,,,,,,,,,,35 mm,,,,,"Box 454, Folder 69-106"
row:prev,,ms0020_neg_bp_69-106_11.tif,,"Black Panther Free Breakfast for Children Program, feature for Vi magazine: Untitled",,Unprinted/unpublished,,,ms0020_neg_bp_69-106_11,,,,,,,,,,,,,35 mm,,,,,"Box 454, Folder 69-106"
row:prev,,ms0020_neg_bp_69-106_18.tif,,"Black Panther Free Breakfast for Children Program, feature for Vi magazine: Untitled",,Unprinted/unpublished,,,ms0020_neg_bp_69-106_18,,,,,,,,,,,,,35 mm,,,,,"Box 454, Folder 69-106"
row:prev,,ms0020_neg_bp_69-106_24.tif,,"Black Panther Free Breakfast for Children Program, feature for Vi magazine: Untitled",,Unprinted/unpublished,,,ms0020_neg_bp_69-106_24,,,,,,,,,,,,,35 mm,,,,,"Box 454, Folder 69-106"
row:prev,,ms0020_neg_bp_69-105_28.tif,,"Black Panther Free Breakfast for Children Program, feature for Vi magazine: Untitled",,Unprinted/unpublished,,,ms0020_neg_bp_69-105_28,,,,,,,,,,,,,35 mm,,,,,"Box 454, Folder 69-105"
row:prev,,ms0020_neg_bp_69-106_23.tif,,"Black Panther Free Breakfast for Children Program, feature for Vi magazine: Untitled","Children eating, St. Augustine's Episcopal Church",Printed/published,,,ms0020_neg_bp_69-106_23,,,,,,,,,,,1969,,35 mm,,,,,"Box 454, Folder 69-106"
row:prev,,ms0020_neg_bp_69-106_17.tif,,"Black Panther Free Breakfast for Children Program, feature for Vi magazine: Untitled",,Unprinted/unpublished,,,ms0020_neg_bp_69-106_17,,,,,,,,,,,,,35 mm,,,,,"Box 454, Folder 69-106"
row:prev,,ms0020_neg_bp_69-106_05.tif,,"Black Panther Free Breakfast for Children Program, feature for Vi magazine: Untitled",,Unprinted/unpublished,,,ms0020_neg_bp_69-106_05,,,,,,,,,,,,,35 mm,,,,,"Box 454, Folder 69-106"
row:prev,,ms0020_neg_bp_69-106_15.tif,,"Black Panther Free Breakfast for Children Program, feature for Vi magazine: Untitled",,Unprinted/unpublished,,,ms0020_neg_bp_69-106_15,,,,,,,,,,,,,35 mm,,,,,"Box 454, Folder 69-106"
row:prev,,ms0020_neg_bp_69-106_01.tif,,"Black Panther Free Breakfast for Children Program, feature for Vi magazine: Untitled","Children eating at table, St. Augustine's Episcopal Church",Printed/published,,,ms0020_neg_bp_69-106_01,,,,,,,,,,,1969,,35 mm,,,,,"Box 454, Folder 69-106"
row:prev,,ms0020_neg_bp_69-106_09.tif,,"Black Panther Free Breakfast for Children Program, feature for Vi magazine: Untitled",,Unprinted/unpublished,,,ms0020_neg_bp_69-106_09,,,,,,,,,,,,,35 mm,,,,,"Box 454, Folder 69-106"
row:prev,,ms0020_neg_bp_69-105_05.tif,,"Black Panther Free Breakfast for Children Program, feature for Vi magazine: Untitled",,Unprinted/unpublished,,,ms0020_neg_bp_69-105_05,,,,,,,,,,,,,35 mm,,,,,"Box 454, Folder 69-105"
row:prev,,ms0020_neg_bp_69-106_33.tif,,"Black Panther Free Breakfast for Children Program, feature for Vi magazine: Untitled",,Unprinted/unpublished,,,ms0020_neg_bp_69-106_33,,,,,,,,,,,,,35 mm,,,,,"Box 454, Folder 69-106"
row:prev,,ms0020_neg_bp_69-106_32.tif,,"Black Panther Free Breakfast for Children Program, feature for Vi magazine: Untitled",,Unprinted/unpublished,,,ms0020_neg_bp_69-106_32,,,,,,,,,,,,,35 mm,,,,,"Box 454, Folder 69-106"
,102 images,,The Black Panthers,"Black Panther Free Breakfast for Children Program, St. Augustine's Episcopal Church [merged with Trinity Church 1975]. Commissioned by Swedish magazine, Vi",,,,,,http://id.loc.gov/authorities/names/n2002034393,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, California, 95064. (831) 459-2547. speccoll@library.ucsc.edu",https://guides.library.ucsc.edu/speccoll,http://purl.org/dc/dcmitype/Image,"Copyright for this collection resides with the Regents of the University of California. The publication or use of any work protected by copyright beyond that allowed by fair use for research or educational purposes requires written permission from the copyright owner. UCSC Special Collections and Archives can grant permission to publish materials to which it holds the copyright. For permission to reproduce or publish the material, or to order a reproduction, please visit guides.library.ucsc.edu/speccoll/reproduction-publication.",https://digitalcollections.library.ucsc.edu/authorities/show/local/agents/regents-of-the-university-of-california,https://digitalcollections.library.ucsc.edu/authorities/show/local/agents/bursey-charles;http://id.loc.gov/authorities/names/n80095585,http://www.geonames.org/5403474,http://id.loc.gov/authorities/subjects/sh85026383;http://id.loc.gov/authorities/subjects/sh85014602,1969-05-20,,http://vocab.getty.edu/aat/300128343,,Public,Ruth-Marion Baruch and Pirkle Jones Photographs,MS 20,The Pirkle Jones Fund of the Marin Community Foundation,
row:prev,,ms0020_neg_bp_6903_13.tif,,"Man serving food to girl, St. Augustine's Episcopal Church",Black Panther Charles Bursey,Printed/published,,,ms0020_neg_bp_6903_13,,,,,,,,,,,1969,,35 mm,,,,,"Box 467, Folder 6903"
row:prev,,ms0020_neg_bp_6902_20.tif,,"Black Panther Free Breakfast for Children Program, St. Augustine's Episcopal Church [merged with Trinity Church 1975]. Commissioned by Swedish magazine, Vi: Untitled",,,,,ms0020_neg_bp_6902_20,,,,,,,,,,,,,35 mm,,,,,"Box 467, Folder 6902"
row:prev,,ms0020_neg_bp_6903_27.tif,,"Black Panther Free Breakfast for Children Program, St. Augustine's Episcopal Church [merged with Trinity Church 1975]. Commissioned by Swedish magazine, Vi: Untitled",,,,,ms0020_neg_bp_6903_27,,,,,,,,,,,,,35 mm,,,,,"Box 467, Folder 6903"
row:prev,,ms0020_neg_bp_6901_17.tif,,"Black Panther Free Breakfast for Children Program, St. Augustine's Episcopal Church [merged with Trinity Church 1975]. Commissioned by Swedish magazine, Vi: Untitled",,,,,ms0020_neg_bp_6901_17,,,,,,,,,,,,,35 mm,,,,,"Box 467, Folder 6901"
