parent,extent,masterFilename,series,title,titleAlternative,description,description,accessionNumber,boxFolder,physicalDescription,creator,subjectName,subjectPlace,subjectTopic,dateCreated,datePublished,physicalFormat,accessRights,collection,collectionCallNumber,donorProvenance,publisher,publisherHomepage,resourceType,rightsStatement,rightsHolder
row:prev,,ms0020_neg_bv_56-179_04.tif,,"Berryessa reservoir, Dorothea Lange, John Dixon and his son, with Pirkle's Plymouth: Untitled",,Unprinted/unpublished,,ms0020_neg_bv_56-179_04,"Box 449, Folder 56-176",2 1/4 in,,,,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-179_05.tif,,"Berryessa reservoir, Dorothea Lange, John Dixon and his son, with Pirkle's Plymouth: Untitled",,Unprinted/unpublished,,ms0020_neg_bv_56-179_05,"Box 449, Folder 56-177",2 1/4 in,,,,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-179_08.tif,,"Berryessa reservoir, Dorothea Lange, John Dixon and his son, with Pirkle's Plymouth: Untitled",,Unprinted/unpublished,,ms0020_neg_bv_56-179_08,"Box 449, Folder 56-177",2 1/4 in,,,,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-179_03.tif,,"Berryessa reservoir, Dorothea Lange, John Dixon and his son, with Pirkle's Plymouth: Untitled",,Unprinted/unpublished,,ms0020_neg_bv_56-179_03,"Box 449, Folder 56-177",2 1/4 in,,,,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-177_01.tif,,"Berryessa reservoir, Dorothea Lange, John Dixon and his son, with Pirkle's Plymouth: Untitled",,Unprinted/unpublished,,ms0020_neg_bv_56-177_01,"Box 449, Folder 56-177",2 1/4 in,,,,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-179_06.tif,,"Berryessa reservoir, Dorothea Lange, John Dixon and his son, with Pirkle's Plymouth: Untitled",,Unprinted/unpublished,,ms0020_neg_bv_56-179_06,"Box 449, Folder 56-177",2 1/4 in,,,,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-179_02.tif,,"Berryessa reservoir, Dorothea Lange, John Dixon and his son, with Pirkle's Plymouth: Untitled",,Unprinted/unpublished,,ms0020_neg_bv_56-179_02,"Box 449, Folder 56-176",2 1/4 in,,,,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-179_01.tif,,"Berryessa reservoir, Dorothea Lange, John Dixon and his son, with Pirkle's Plymouth: Untitled",,Unprinted/unpublished,,ms0020_neg_bv_56-179_01,"Box 449, Folder 56-176",2 1/4 in,,,,,,,,,,,,,,,,
,13 images,,Berryessa Valley,Berryessa reservoir,,,,,,,http://id.loc.gov/authorities/names/n90650175,,http://www.geonames.org/5364444,,1956,,http://vocab.getty.edu/aat/300128343,Public,Ruth-Marion Baruch and Pirkle Jones Photographs,MS 20,The Pirkle Jones Fund of the Marin Community Foundation,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, California, 95064. (831) 459-2547. speccoll@library.ucsc.edu",https://guides.library.ucsc.edu/speccoll,http://purl.org/dc/dcmitype/Image,"Copyright for this collection resides with the Regents of the University of California. The publication or use of any work protected by copyright beyond that allowed by fair use for research or educational purposes requires written permission from the copyright owner. UCSC Special Collections and Archives can grant permission to publish materials to which it holds the copyright. For permission to reproduce or publish the material, or to order a reproduction, please visit guides.library.ucsc.edu/speccoll/reproduction-publication.",https://digitalcollections.library.ucsc.edu/authorities/show/local/agents/regents-of-the-university-of-california
row:prev,,ms0020_neg_bv_56-176_03.tif,,Berryessa reservoir #2,,Printed/published,,ms0020_neg_bv_56-176_03,"Box 449, Folder 56-176",2 1/4 in,,,,,,1956,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-177_08.tif,,Berryessa reservoir: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-177_08,"Box 449, Folder 56-179",2 1/4 in,,,,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-177_10.tif,,Berryessa reservoir: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-177_10,"Box 449, Folder 56-177",2 1/4 in,,,,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-176_04.tif,,Berryessa reservoir: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-176_04,"Box 449, Folder 56-177",2 1/4 in,,,,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-176_05.tif,,Berryessa reservoir: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-176_05,"Box 449, Folder 56-177",2 1/4 in,,,,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-177_05.tif,,Berryessa reservoir: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-177_05,"Box 449, Folder 56-179",2 1/4 in,,,,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-177_07.tif,,Berryessa reservoir: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-177_07,"Box 449, Folder 56-179",2 1/4 in,,,,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-177_06.tif,,Berryessa reservoir: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-177_06,"Box 449, Folder 56-179",2 1/4 in,,,,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-177_09.tif,,Berryessa reservoir: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-177_09,"Box 449, Folder 56-179",2 1/4 in,,,,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-177_11.tif,,Berryessa reservoir: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-177_11,"Box 449, Folder 56-177",2 1/4 in,,,,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-176_02.tif,,Berryessa reservoir: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-176_02,"Box 449, Folder 56-179",2 1/4 in,,,,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-176_06.tif,,Berryessa reservoir: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-176_06,"Box 449, Folder 56-179",2 1/4 in,,,,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-176_01.tif,,Berryessa reservoir: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-176_01,"Box 449, Folder 56-179",2 1/4 in,,,,,,,,,,,,,,,,
,4 images,,Berryessa Valley,Buck Hannakle,,,,,,,http://id.loc.gov/authorities/names/n90650175,,http://www.geonames.org/5364444,,1956,,http://vocab.getty.edu/aat/300128343,Public,Ruth-Marion Baruch and Pirkle Jones Photographs,MS 20,The Pirkle Jones Fund of the Marin Community Foundation,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, California, 95064. (831) 459-2547. speccoll@library.ucsc.edu",https://guides.library.ucsc.edu/speccoll,http://purl.org/dc/dcmitype/Image,"Copyright for this collection resides with the Regents of the University of California. The publication or use of any work protected by copyright beyond that allowed by fair use for research or educational purposes requires written permission from the copyright owner. UCSC Special Collections and Archives can grant permission to publish materials to which it holds the copyright. For permission to reproduce or publish the material, or to order a reproduction, please visit guides.library.ucsc.edu/speccoll/reproduction-publication.",https://digitalcollections.library.ucsc.edu/authorities/show/local/agents/regents-of-the-university-of-california
row:prev,,ms0020_neg_bv_56-117_04.tif,,"Deputy Sheriff and ranch foreman Buck Hannackle, from Berryessa Valley The Last Year",,Printed/published,"From Berryessa Valley, the Last Year",ms0020_neg_bv_56-117_04,"Box 449, Folder 56-117",2 1/4 in,,,,,,1972,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-117_07.tif,,Buck Hannakle: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-117_07,"Box 449, Folder 56-117",2 1/4 in,,,,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-117_05.tif,,Buck Hannakle: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-117_05,"Box 449, Folder 56-117",2 1/4 in,,,,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-117_06.tif,,Buck Hannakle: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-117_06,"Box 449, Folder 56-117",2 1/4 in,,,,,,,,,,,,,,,,
,2 images,,Berryessa Valley,Buck's home,,,,,,,http://id.loc.gov/authorities/names/n90650175,,http://www.geonames.org/5364444,,1956,,http://vocab.getty.edu/aat/300128343,Public,Ruth-Marion Baruch and Pirkle Jones Photographs,MS 20,The Pirkle Jones Fund of the Marin Community Foundation,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, California, 95064. (831) 459-2547. speccoll@library.ucsc.edu",https://guides.library.ucsc.edu/speccoll,http://purl.org/dc/dcmitype/Image,"Copyright for this collection resides with the Regents of the University of California. The publication or use of any work protected by copyright beyond that allowed by fair use for research or educational purposes requires written permission from the copyright owner. UCSC Special Collections and Archives can grant permission to publish materials to which it holds the copyright. For permission to reproduce or publish the material, or to order a reproduction, please visit guides.library.ucsc.edu/speccoll/reproduction-publication.",https://digitalcollections.library.ucsc.edu/authorities/show/local/agents/regents-of-the-university-of-california
row:prev,,ms0020_neg_bv_56-200_02.tif,,Buck's home: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-200_02,"Box 448, Folder 56-200",5 x 7 in,,,,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-200_01.tif,,Buck's home: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-200_01,"Box 448, Folder 56-200",5 x 7 in,,,,,,,,,,,,,,,,
,12 images,,Berryessa Valley,Burning of house and barn,,,,,,,http://id.loc.gov/authorities/names/n90650175,,http://www.geonames.org/5364444,,1956,,http://vocab.getty.edu/aat/300128343,Public,Ruth-Marion Baruch and Pirkle Jones Photographs,MS 20,The Pirkle Jones Fund of the Marin Community Foundation,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, California, 95064. (831) 459-2547. speccoll@library.ucsc.edu",https://guides.library.ucsc.edu/speccoll,http://purl.org/dc/dcmitype/Image,"Copyright for this collection resides with the Regents of the University of California. The publication or use of any work protected by copyright beyond that allowed by fair use for research or educational purposes requires written permission from the copyright owner. UCSC Special Collections and Archives can grant permission to publish materials to which it holds the copyright. For permission to reproduce or publish the material, or to order a reproduction, please visit guides.library.ucsc.edu/speccoll/reproduction-publication.",https://digitalcollections.library.ucsc.edu/authorities/show/local/agents/regents-of-the-university-of-california
row:prev,,ms0020_neg_bv_56-143_09.tif,,Burning of house and barn: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-143_09,"Box 449, Folder 56-143",2 1/4 in,,,,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-143_02.tif,,Burning of house and barn: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-143_02,"Box 449, Folder 56-143",2 1/4 in,,,,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-143_11.tif,,Burning of house and barn: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-143_11,"Box 449, Folder 56-143",2 1/4 in,,,,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-143_05.tif,,Burning of house and barn: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-143_05,"Box 449, Folder 56-143",2 1/4 in,,,,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-143_06.tif,,Burning of house and barn: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-143_06,"Box 449, Folder 56-143",2 1/4 in,,,,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-143_07.tif,,Burning of house and barn: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-143_07,"Box 449, Folder 56-143",2 1/4 in,,,,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-143_08.tif,,Burning of house and barn: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-143_08,"Box 449, Folder 56-143",2 1/4 in,,,,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-143_12.tif,,Burning of house and barn: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-143_12,"Box 449, Folder 56-143",2 1/4 in,,,,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-143_03.tif,,Burning of house and barn: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-143_03,"Box 449, Folder 56-143",2 1/4 in,,,,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-143_04.tif,,Burning of house and barn: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-143_04,"Box 449, Folder 56-143",2 1/4 in,,,,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-143_01.tif,,Burning of house and barn: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-143_01,"Box 449, Folder 56-143",2 1/4 in,,,,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-143_10.tif,,Burning of house and barn: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-143_10,"Box 449, Folder 56-143",2 1/4 in,,,,,,,,,,,,,,,,
,1 image,ms0020_neg_bv_56-197.tif,Berryessa Valley,"California oak trees on the Knowles ranch, from Berryessa Valley The Last Year",,Printed/published,"From Berryessa Valley, the Last Year",ms0020_neg_bv_56-197,"Box 448, Folder 56-197",5 x 7 in,http://id.loc.gov/authorities/names/n90650175,,http://www.geonames.org/5364444,,1956,1960,http://vocab.getty.edu/aat/300128343,Public,Ruth-Marion Baruch and Pirkle Jones Photographs,MS 20,The Pirkle Jones Fund of the Marin Community Foundation,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, California, 95064. (831) 459-2547. speccoll@library.ucsc.edu",https://guides.library.ucsc.edu/speccoll,http://purl.org/dc/dcmitype/Image,"Copyright for this collection resides with the Regents of the University of California. The publication or use of any work protected by copyright beyond that allowed by fair use for research or educational purposes requires written permission from the copyright owner. UCSC Special Collections and Archives can grant permission to publish materials to which it holds the copyright. For permission to reproduce or publish the material, or to order a reproduction, please visit guides.library.ucsc.edu/speccoll/reproduction-publication.",https://digitalcollections.library.ucsc.edu/authorities/show/local/agents/uc_board_of_regents
,177 images,,Berryessa Valley,Cemetery removal,,,,,,,http://id.loc.gov/authorities/names/n90650175,,http://www.geonames.org/5374510; http://www.geonames.org/5364444,,1956,,http://vocab.getty.edu/aat/300128343,Public,Ruth-Marion Baruch and Pirkle Jones Photographs,MS 20,The Pirkle Jones Fund of the Marin Community Foundation,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, California, 95064. (831) 459-2547. speccoll@library.ucsc.edu",https://guides.library.ucsc.edu/speccoll,http://purl.org/dc/dcmitype/Image,"Copyright for this collection resides with the Regents of the University of California. The publication or use of any work protected by copyright beyond that allowed by fair use for research or educational purposes requires written permission from the copyright owner. UCSC Special Collections and Archives can grant permission to publish materials to which it holds the copyright. For permission to reproduce or publish the material, or to order a reproduction, please visit guides.library.ucsc.edu/speccoll/reproduction-publication.",https://digitalcollections.library.ucsc.edu/authorities/show/local/agents/regents-of-the-university-of-california
row:prev,,ms0020_neg_bv_56-105_03.tif,,"Gravesite disinterred, Berryessa Valley",,Printed/published,,ms0020_neg_bv_56-105_03,"Box 449, Folder 56-105",2 1/4 in,,,http://www.geonames.org/5364444,,,1956,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-101_11.tif,,"Man and tombstones, Berryessa Valley",,Printed/published,,ms0020_neg_bv_56-101_11,"Box 449, Folder 56-101",2 1/4 in,,,http://www.geonames.org/5364444,,,1956,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-103_07.tif,,"Removal of casket, Berryessa Valley",,Printed/published,,ms0020_neg_bv_56-103_07,"Box 449, Folder 56-103",2 1/4 in,,,http://www.geonames.org/5364444,,,1956,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-142_09.tif,,"The graves have been disinterred, Monticello cemetery is moved to higher ground, from Death of A Valley",,Printed/published,From Death of A Valley,ms0020_neg_bv_56-142_09,"Box 449, Folder 56-142",2 1/4 in,,,http://www.geonames.org/5364444,,,1956,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-098_08.tif,,"Truck with headstones between two cypress, Berryessa Valley",,Printed/published,,ms0020_neg_bv_56-098_08,"Box 449, Folder 56-098",2 1/4 in,,,http://www.geonames.org/5364444,,,1956,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-105_02.tif,,Cemetery removal: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-105_02,"Box 449, Folder 56-105",2 1/4 in,,,http://www.geonames.org/5364444,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-105_01.tif,,Cemetery removal: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-105_01,"Box 449, Folder 56-105",2 1/4 in,,,http://www.geonames.org/5364444,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-225_03.tif,,Cemetery removal: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-225_03,"Box 448, Folder 56-225",35 mm,,,http://www.geonames.org/5364444,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-224_28.tif,,Cemetery removal: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-224_28,"Box 448, Folder 56-224",35 mm,,,http://www.geonames.org/5364444,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-100_03.tif,,Cemetery removal: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-100_03,"Box 449, Folder 56-100",2 1/4 in,,,http://www.geonames.org/5364444,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-102_05.tif,,Cemetery removal: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-102_05,"Box 449, Folder 56-102",2 1/4 in,,,http://www.geonames.org/5364444,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-100_11.tif,,Cemetery removal: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-100_11,"Box 449, Folder 56-100",2 1/4 in,,,http://www.geonames.org/5364444,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-100_10.tif,,Cemetery removal: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-100_10,"Box 449, Folder 56-100",2 1/4 in,,,http://www.geonames.org/5364444,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-101_09.tif,,Cemetery removal: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-101_09,"Box 449, Folder 56-101",2 1/4 in,,,http://www.geonames.org/5364444,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-104_01.tif,,Cemetery removal: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-104_01,"Box 449, Folder 56-104",2 1/4 in,,,http://www.geonames.org/5364444,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-104_04.tif,,Cemetery removal: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-104_04,"Box 449, Folder 56-104",2 1/4 in,,,http://www.geonames.org/5364444,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-142_06.tif,,Cemetery removal: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-142_06,"Box 449, Folder 56-142",2 1/4 in,,,http://www.geonames.org/5364444,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-224_39.tif,,Cemetery removal: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-224_39,"Box 448, Folder 56-224",35 mm,,,http://www.geonames.org/5364444,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-224_38.tif,,Cemetery removal: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-224_38,"Box 448, Folder 56-224",35 mm,,,http://www.geonames.org/5364444,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-099_11.tif,,Cemetery removal: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-099_11,"Box 449, Folder 56-099",2 1/4 in,,,http://www.geonames.org/5364444,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-099_12.tif,,Cemetery removal: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-099_12,"Box 449, Folder 56-099",2 1/4 in,,,http://www.geonames.org/5364444,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-225_01.tif,,Cemetery removal: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-225_01,"Box 448, Folder 56-225",35 mm,,,http://www.geonames.org/5364444,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-102_08.tif,,Cemetery removal: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-102_08,"Box 449, Folder 56-102",2 1/4 in,,,http://www.geonames.org/5364444,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-225_14.tif,,Cemetery removal: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-225_14,"Box 448, Folder 56-225",35 mm,,,http://www.geonames.org/5364444,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-225_05.tif,,Cemetery removal: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-225_05,"Box 448, Folder 56-225",35 mm,,,http://www.geonames.org/5364444,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-142_10.tif,,Cemetery removal: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-142_10,"Box 449, Folder 56-142",2 1/4 in,,,http://www.geonames.org/5364444,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-142_11.tif,,Cemetery removal: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-142_11,"Box 449, Folder 56-142",2 1/4 in,,,http://www.geonames.org/5364444,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-102_12.tif,,Cemetery removal: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-102_12,"Box 449, Folder 56-102",2 1/4 in,,,http://www.geonames.org/5364444,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-224_22.tif,,Cemetery removal: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-224_22,"Box 448, Folder 56-224",35 mm,,,http://www.geonames.org/5364444,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-104_08.tif,,Cemetery removal: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-104_08,"Box 449, Folder 56-104",2 1/4 in,,,http://www.geonames.org/5364444,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-104_07.tif,,Cemetery removal: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-104_07,"Box 449, Folder 56-104",2 1/4 in,,,http://www.geonames.org/5364444,,,,,,,,,,,,,
row:prev,,ms0020_neg_bv_56-225_15.tif,,Cemetery removal: Untitled,,Unprinted/unpublished,,ms0020_neg_bv_56-225_15,"Box 448, Folder 56-225",35 mm,,,http://www.geonames.org/5364444,,,,,,,,,,,,,
