filename,parent,parent,collection,title,creator,description,dateCreatedDisplay,dateCreated,dateDigitized,subjectName,subjectTopic,resourceType,physicalFormat,genre,extent,language,rightsStatement,accessRights,publisher,publisherHomepage,itemCallNumber,masterFilename
lcd12372_50.aif,row:prev,row:19,,"Lecture delivered on May 18, 1971",,,1971-05-18,1971-05-18,,,,,,,,,,,,,,lcd12372_50.aif
lcd12372_51.aif,row:prev,row:19,,"Lecture delivered on May 20, 1971",,,1971-05-20,1971-05-20,,,,,,,,,,,,,,lcd12372_51.aif
lcd12372_52.aif,row:prev,row:19,,"Lecture delivered on May 25, 1971",,,1971-05-25,1971-05-25,,,,,,,,,,,,,,lcd12372_52.aif
lcd12372_54.aif,row:prev,row:19,,"Lecture delivered on June 1, 1971",,,1971-06-01,1971-06-01,,,,,,,,,,,,,,lcd12372_54.aif
,,,UCSC Faculty Lectures,The development of Western civilization,http://id.loc.gov/authorities/names/n89610766,"Lectures given in Crown College course 1 at the University of California, Santa Cruz, Fall Quarter 1976 through Spring Quarter 1977.",1976-1977,1976; 1977,2015,http://id.loc.gov/authorities/names/n79059545,http://id.loc.gov/authorities/subjects/sh85026424,http://purl.org/dc/dcmitype/Sound,http://vocab.getty.edu/aat/300028653,http://vocab.getty.edu/aat/300026673,34 lectures; approximately 36 hrs.,http://id.loc.gov/vocabulary/iso639-2/eng,"Property rights for this collection reside with the University of California. Literary rights, including copyright, are retained by the creators and their heirs. The publication or use of any work protected by copyright beyond that allowed by fair use for research or educational purposes requires written permission from the copyright owner. Responsibility for obtaining permissions, and for any use rests exclusively with the user. For more information on copyright or to order a reproduction, please visit guides.library.ucsc.edu/speccoll/reproduction-publication.",For educational uses only,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, CA, 95064. (831) 459-2547. speccoll@library.ucsc.edu",guides.library.ucsc.edu/speccoll,LCD12374,
lcd12374_01.aif,row:prev,row:72,,"Lecture delivered on September 23, 1976",,,1976-09-23,1976-09-23,,,,,,,,,,,,,,lcd12374_01.aif
lcd12374_02.aif,row:prev,row:72,,"Lecture delivered on September 28, 1976",,,1976-09-28,1976-09-28,,,,,,,,,,,,,,lcd12374_02.aif
lcd12374_03.aif,row:prev,,,"Lecture delivered on September 30, 1976",,,1976-09-30,1976-09-30,,,,,,,,,,,,,,lcd12374_03.aif
lcd12374_04.aif,row:prev,row:72,,"Lecture delivered on October 7, 1976",,,1976-10-07,1976-10-07,,,,,,,,,,,,,,lcd12374_04.aif
lcd12374_05.aif,row:prev,row:72,,"Lecture delivered on October 12, 1976",,,1976-10-12,1976-10-12,,,,,,,,,,,,,,lcd12374_05.aif
lcd12374_06.aif,row:prev,row:72,,"Lecture delivered on October 14, 1976",,,1976-10-14,1976-10-14,,,,,,,,,,,,,,lcd12374_06.aif
lcd12374_07.aif,row:prev,row:72,,"Lecture delivered on October 19, 1976",,,1976-10-19,1976-10-19,,,,,,,,,,,,,,lcd12374_07.aif
lcd12374_08.aif,row:prev,row:72,,"Lecture delivered on October 21, 1976",,,1976-10-21,1976-10-21,,,,,,,,,,,,,,lcd12374_08.aif
lcd12374_09.aif,row:prev,row:72,,"Lecture delivered on October 26, 1976",,,1976-10-26,1976-10-26,,,,,,,,,,,,,,lcd12374_09.aif
