parent,extent,masterFilename,series,title,titleAlternative,description,description,accessionNumber,creator,publisher,publisherHomepage,resourceType,rightsStatement,rightsHolder,subjectName,subjectPlace,subjectTopic,dateCreatedFake,dateCreated,datePublished,physicalFormat,physicalDescription,accessRights,collection,collectionCallNumber,donorProvenance,boxFolder
row:prev,,ms0020_neg_4803_05.tif,,"Mother diapering baby on bench, Benicia",,Printed/published,,ms0020_neg_4803_05,,,,,,,,,,,,,,2 1/4 in,,,,,"Box 466, Folder 4803"
row:prev,,ms0020_neg_4803_02.tif,,Benicia: Untitled,,Unprinted/unpublished,,ms0020_neg_4803_02,,,,,,,,,,,,,,2 1/4 in,,,,,"Box 466, Folder 4803"
row:prev,,ms0020_neg_4803_04.tif,,Benicia: Untitled,,Unprinted/unpublished,,ms0020_neg_4803_04,,,,,,,,,,,,,,2 1/4 in,,,,,"Box 466, Folder 4803"
row:prev,,ms0020_neg_4804_02.tif,,Benicia: Untitled,,Unprinted/unpublished,,ms0020_neg_4804_02,,,,,,,,,,,,,,2 1/4 in,,,,,"Box 466, Folder 4804"
row:prev,,ms0020_neg_4803_06.tif,,Benicia: Untitled,,Unprinted/unpublished,,ms0020_neg_4803_06,,,,,,,,,,,,,,2 1/4 in,,,,,"Box 466, Folder 4803"
row:prev,,ms0020_neg_4803_07.tif,,Benicia: Untitled,,Unprinted/unpublished,,ms0020_neg_4803_07,,,,,,,,,,,,,,2 1/4 in,,,,,"Box 466, Folder 4803"
row:prev,,ms0020_neg_4804_01.tif,,Benicia: Untitled,,Unprinted/unpublished,,ms0020_neg_4804_01,,,,,,,,,,,,,,2 1/4 in,,,,,"Box 466, Folder 4804"
row:prev,,ms0020_neg_4803_08.tif,,"Walking dressed in black, Benicia",,Printed/published,,ms0020_neg_4803_08,,,,,,,,,,,,1948,,2 1/4 in,,,,,"Box 466, Folder 4803"
,15 images,,Carousel,Carousel,,,,,http://id.loc.gov/authorities/names/n2002034393,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, California, 95064. (831) 459-2547. speccoll@library.ucsc.edu",https://guides.library.ucsc.edu/speccoll,http://purl.org/dc/dcmitype/Image,"Copyright for this collection resides with the Regents of the University of California. The publication or use of any work protected by copyright beyond that allowed by fair use for research or educational purposes requires written permission from the copyright owner. UCSC Special Collections and Archives can grant permission to publish materials to which it holds the copyright. For permission to reproduce or publish the material, or to order a reproduction, please visit guides.library.ucsc.edu/speccoll/reproduction-publication.",https://digitalcollections.library.ucsc.edu/authorities/show/local/agents/regents-of-the-university-of-california,,http://www.geonames.org/9199863,,1948,1948,,http://vocab.getty.edu/aat/300128343,,Public,Ruth-Marion Baruch and Pirkle Jones Photographs,MS 20,The Pirkle Jones Fund of the Marin Community Foundation,
row:prev,,ms0020_neg_4805_05.tif,,"Boy on carousel horse, from Carousel, San Francisco",,Printed/published,"Carousel, San Francisco",ms0020_neg_4805_05,,,,,,,,,,,,1948,,2 1/4 in,,,,,"Box 466, Folder 4805"
row:prev,,ms0020_neg_4805_03.tif,,"Child on ostrich, from Carousel, San Francisco Zoo",,Printed/published,"Carousel, San Francisco",ms0020_neg_4805_03,,,,,,,,,,,,1948,,2 1/4 in,,,,,"Box 466, Folder 4805"
row:prev,,ms0020_neg_4805_01.tif,,"Dragon, from Carousel, San Francisco Zoo",,Printed/published,"Carousel, San Francisco",ms0020_neg_4805_01,,,,,,,,,,,,1948,,2 1/4 in,,,,,"Box 466, Folder 4805"
row:prev,,ms0020_neg_4806_06.tif,,"Girl on Giraffe, from Carousel, San Francisco",,Printed/published,"Carousel, San Francisco",ms0020_neg_4806_06,,,,,,,,,,,,1948,,2 1/4 in,,,,,"Box 466, Folder 4806"
row:prev,,ms0020_neg_4806_05.tif,,"Girl riding horse [#2], from Carousel, San Francisco",,Printed/published,"Carousel, San Francisco",ms0020_neg_4806_05,,,,,,,,,,,,1948,,2 1/4 in,,,,,"Box 466, Folder 4806"
row:prev,,ms0020_neg_4806_03.tif,,"Girl riding horse, from Carousel, San Francisco",,Printed/published,"Carousel, San Francisco",ms0020_neg_4806_03,,,,,,,,,,,,1948,,2 1/4 in,,,,,"Box 466, Folder 4806"
row:prev,,ms0020_neg_4805_08.tif,,"Girl running holding brother's hand, from Carousel, San Francisco",,Printed/published,"Carousel, San Francisco",ms0020_neg_4805_08,,,,,,,,,,,,1948,,2 1/4 in,,,,,"Box 466, Folder 4805"
row:prev,,ms0020_neg_4806_01.tif,,"Mother in cape and child, from Carousel, San Francisco",,Printed/published,"Carousel, San Francisco",ms0020_neg_4806_01,,,,,,,,,,,,1948,,2 1/4 in,,,,,"Box 466, Folder 4806"
row:prev,,ms0020_neg_4805_07.tif,,Carousel: Untitled,,Unprinted/unpublished,,ms0020_neg_4805_07,,,,,,,,,,,,,,2 1/4 in,,,,,"Box 466, Folder 4805"
row:prev,,ms0020_neg_4806_02.tif,,Carousel: Untitled,,Unprinted/unpublished,,ms0020_neg_4806_02,,,,,,,,,,,,,,2 1/4 in,,,,,"Box 466, Folder 4806"
row:prev,,ms0020_neg_4806_07.tif,,Carousel: Untitled,,Unprinted/unpublished,,ms0020_neg_4806_07,,,,,,,,,,,,,,2 1/4 in,,,,,"Box 466, Folder 4806"
row:prev,,ms0020_neg_4805_04.tif,,Carousel: Untitled,,Unprinted/unpublished,,ms0020_neg_4805_04,,,,,,,,,,,,,,2 1/4 in,,,,,"Box 466, Folder 4805"
row:prev,,ms0020_neg_4806_04.tif,,Carousel: Untitled,,Unprinted/unpublished,,ms0020_neg_4806_04,,,,,,,,,,,,,,2 1/4 in,,,,,"Box 466, Folder 4806"
row:prev,,ms0020_neg_4805_02.tif,,Carousel: Untitled,,Unprinted/unpublished,,ms0020_neg_4805_02,,,,,,,,,,,,,,2 1/4 in,,,,,"Box 466, Folder 4805"
row:prev,,ms0020_neg_4805_06.tif,,Carousel: Untitled,,Unprinted/unpublished,,ms0020_neg_4805_06,,,,,,,,,,,,,,2 1/4 in,,,,,"Box 466, Folder 4805"
,27 images,,"Children, They Grow in the City","Children, They Grow in the City",,,CSFA project with Pirkle Jones,,http://id.loc.gov/authorities/names/n2002034393,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, California, 95064. (831) 459-2547. speccoll@library.ucsc.edu",https://guides.library.ucsc.edu/speccoll,http://purl.org/dc/dcmitype/Image,"Copyright for this collection resides with the Regents of the University of California. The publication or use of any work protected by copyright beyond that allowed by fair use for research or educational purposes requires written permission from the copyright owner. UCSC Special Collections and Archives can grant permission to publish materials to which it holds the copyright. For permission to reproduce or publish the material, or to order a reproduction, please visit guides.library.ucsc.edu/speccoll/reproduction-publication.",https://digitalcollections.library.ucsc.edu/authorities/show/local/agents/regents-of-the-university-of-california,,http://www.geonames.org/5391959,,1948,1948,,http://vocab.getty.edu/aat/300128343,,Public,Ruth-Marion Baruch and Pirkle Jones Photographs,MS 20,The Pirkle Jones Fund of the Marin Community Foundation,
row:prev,,ms0020_neg_4807_03.tif,,"Black boy sitting on running board, San Francisco",,Printed/published,,ms0020_neg_4807_03,,,,,,,,,,,,1948,,2 1/4 in,,,,,"Box 466, Folder 5401"
row:prev,,ms0020_neg_4807_01.tif,,"Boy on car, San Francisco",,Printed/published,,ms0020_neg_4807_01,,,,,,,,,,,,1948,,2 1/4 in,,,,,"Box 466, Folder 5401"
row:prev,,ms0020_neg_4808_03.tif,,Boys at Civic Center fountain,,Printed/published,,ms0020_neg_4808_03,,,,,,,,,,,,1948,,2 1/4 in,,,,,"Box 466, Folder 5401"
row:prev,,ms0020_neg_4808_01.tif,,Children behind chain fence,,Printed/published,,ms0020_neg_4808_01,,,,,,,,,,,,1948,,2 1/4 in,,,,,"Box 466, Folder 5401"
row:prev,,ms0020_neg_4809_02.tif,,"Chinatown, children in reflected store window",,Printed/published,,ms0020_neg_4809_02,,,,,,,,,,,,1948,,2 1/4 in,,,,,"Box 466, Folder 5401"
row:prev,,ms0020_neg_4810_01.tif,,Chinese child blowing up balloon,,Printed/published,,ms0020_neg_4810_01,,,,,,,,,,,,1948,,2 1/4 in,,,,,"Box 466, Folder 5401"
row:prev,,ms0020_neg_4810_08.tif,,"Chinese child in striped dress, San Francisco",,Printed/published,,ms0020_neg_4810_08,,,,,,,,,,,,1948,,2 1/4 in,,,,,"Box 466, Folder 5401"
row:prev,,ms0020_neg_4810_06.tif,,Negro Mother and Child,,Printed/published,,ms0020_neg_4810_06,,,,,,,,,,,,1948,,2 1/4 in,,,,,"Box 466, Folder 5401"
row:prev,,ms0020_neg_4807_04.tif,,"Nun and Chinese child, San Francisco",,Printed/published,,ms0020_neg_4807_04,,,,,,,,,,,,1948,,2 1/4 in,,,,,"Box 466, Folder 5304"
row:prev,,ms0020_neg_4809_05.tif,,"Nun, San Francisco",,Printed/published,,ms0020_neg_4809_05,,,,,,,,,,,,1948,,2 1/4 in,,,,,"Box 466, Folder 4801"
row:prev,,ms0020_neg_4807_07.tif,,"Nuns and girl, San Francisco",,Printed/published,,ms0020_neg_4807_07,,,,,,,,,,,,1948,,2 1/4 in,,,,,"Box 466, Folder 4802"
row:prev,,ms0020_neg_4809_03.tif,,"Pin Cushion Mama, San Francisco",,Printed/published,,ms0020_neg_4809_03,,,,,,,,,,,,1948,,2 1/4 in,,,,,"Box 466, Folder 5304"
row:prev,,ms0020_neg_4809_01.tif,,"Children, They Grow in the City: Untitled",,Unprinted/unpublished,,ms0020_neg_4809_01,,,,,,,,,,,,,,2 1/4 in,,,,,"Box 466, Folder 4802"
row:prev,,ms0020_neg_4809_06.tif,,"Children, They Grow in the City: Untitled",,Unprinted/unpublished,,ms0020_neg_4809_06,,,,,,,,,,,,,,2 1/4 in,,,,,"Box 466, Folder 4702"
row:prev,,ms0020_neg_4808_07.tif,,"Children, They Grow in the City: Untitled",,Unprinted/unpublished,,ms0020_neg_4808_07,,,,,,,,,,,,,,2 1/4 in,,,,,"Box 466, Folder 4801"
row:prev,,ms0020_neg_4807_05.tif,,"Children, They Grow in the City: Untitled",,Unprinted/unpublished,,ms0020_neg_4807_05,,,,,,,,,,,,,,2 1/4 in,,,,,"Box 466, Folder 4702"
row:prev,,ms0020_neg_4809_07.tif,,"Children, They Grow in the City: Untitled",,Unprinted/unpublished,,ms0020_neg_4809_07,,,,,,,,,,,,,,2 1/4 in,,,,,"Box 466, Folder 4702"
row:prev,,ms0020_neg_4809_04.tif,,"Children, They Grow in the City: Untitled",,Unprinted/unpublished,,ms0020_neg_4809_04,,,,,,,,,,,,,,2 1/4 in,,,,,"Box 466, Folder 4801"
row:prev,,ms0020_neg_4809_08.tif,,"Children, They Grow in the City: Untitled",,Unprinted/unpublished,,ms0020_neg_4809_08,,,,,,,,,,,,,,2 1/4 in,,,,,"Box 466, Folder 4701"
row:prev,,ms0020_neg_4807_02.tif,,"Children, They Grow in the City: Untitled",,Unprinted/unpublished,,ms0020_neg_4807_02,,,,,,,,,,,,,,2 1/4 in,,,,,"Box 466, Folder 4702"
row:prev,,ms0020_neg_4810_05.tif,,"Children, They Grow in the City: Untitled",,Unprinted/unpublished,,ms0020_neg_4810_05,,,,,,,,,,,,,,2 1/4 in,,,,,"Box 466, Folder 4701"
row:prev,,ms0020_neg_4810_02.tif,,"Children, They Grow in the City: Untitled",,Unprinted/unpublished,,ms0020_neg_4810_02,,,,,,,,,,,,,,2 1/4 in,,,,,"Box 466, Folder 4801"
row:prev,,ms0020_neg_4808_06.tif,,"Children, They Grow in the City: Untitled",,Unprinted/unpublished,,ms0020_neg_4808_06,,,,,,,,,,,,,,2 1/4 in,,,,,"Box 466, Folder 4801"
row:prev,,ms0020_neg_4808_05.tif,,"Children, They Grow in the City: Untitled",,Unprinted/unpublished,,ms0020_neg_4808_05,,,,,,,,,,,,,,2 1/4 in,,,,,"Box 466, Folder 4701"
row:prev,,ms0020_neg_4807_06.tif,,"Children, They Grow in the City: Untitled",,Unprinted/unpublished,,ms0020_neg_4807_06,,,,,,,,,,,,,,2 1/4 in,,,,,"Box 466, Folder 4802"
row:prev,,ms0020_neg_4808_02.tif,,"Children, They Grow in the City: Untitled",,Unprinted/unpublished,,ms0020_neg_4808_02,,,,,,,,,,,,,,2 1/4 in,,,,,"Box 466, Folder 4701"
row:prev,,ms0020_neg_4808_04.tif,,"Children, They Grow in the City: Untitled",,Unprinted/unpublished,,ms0020_neg_4808_04,,,,,,,,,,,,,,2 1/4 in,,,,,"Box 466, Folder 4801"
,38 images,,Children,Children,,,,,http://id.loc.gov/authorities/names/n2002034393,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, California, 95064. (831) 459-2547. speccoll@library.ucsc.edu",https://guides.library.ucsc.edu/speccoll,http://purl.org/dc/dcmitype/Image,"Copyright for this collection resides with the Regents of the University of California. The publication or use of any work protected by copyright beyond that allowed by fair use for research or educational purposes requires written permission from the copyright owner. UCSC Special Collections and Archives can grant permission to publish materials to which it holds the copyright. For permission to reproduce or publish the material, or to order a reproduction, please visit guides.library.ucsc.edu/speccoll/reproduction-publication.",https://digitalcollections.library.ucsc.edu/authorities/show/local/agents/regents-of-the-university-of-california,,,,,,,http://vocab.getty.edu/aat/300128343,,Public,Ruth-Marion Baruch and Pirkle Jones Photographs,MS 20,The Pirkle Jones Fund of the Marin Community Foundation,
row:prev,,ms0020_neg_4801_08.tif,,"Black boy in overalls, San Francisco",,Printed/published,,ms0020_neg_4801_08,,,,,,,,http://www.geonames.org/5391959,,1948,1948,1948,,2 1/4 in,,,,,"Box 466, Folder 4801"
row:prev,,ms0020_neg_4802_01.tif,,Black boy playing on swings,,Printed/published,,ms0020_neg_4802_01,,,,,,,,http://www.geonames.org/5391959,,1948,1948,1948,,2 1/4 in,,,,,"Box 466, Folder 4701"
row:prev,,ms0020_neg_5304_08.tif,,"Black boy with comics, San Francisco",,Printed/published,,ms0020_neg_5304_08,,,,,,,,http://www.geonames.org/5391959,,1953,1953,1953,,2 1/4 in,,,,,"Box 466, Folder 4701"
row:prev,,ms0020_neg_4802_08.tif,,"Black boys playing with toy guns, San Francisco",,Printed/published,,ms0020_neg_4802_08,,,,,,,,http://www.geonames.org/5391959,,1948,1948,1948,,2 1/4 in,,,,,"Box 466, Folder 5304"
row:prev,,ms0020_neg_4702_01.tif,,"Black girl with lunch pail, San Francisco",,Printed/published,,ms0020_neg_4702_01,,,,,,,,http://www.geonames.org/5391959,,1947,1947,1947,,2 1/4 in,,,,,"Box 466, Folder 4801"
row:prev,,ms0020_neg_4801_04.tif,,"Brother and big sister with doll, San Francisco",,Printed/published,,ms0020_neg_4801_04,,,,,,,,http://www.geonames.org/5391959,,1948,1948,1948,,2 1/4 in,,,,,"Box 466, Folder 4802"
row:prev,,ms0020_neg_4702_02.tif,,"Four girls eating sandwiches, San Francisco",,Printed/published,,ms0020_neg_4702_02,,,,,,,,http://www.geonames.org/5391959,,1947,1947,1947,,2 1/4 in,,,,,"Box 466, Folder 4701"
row:prev,,ms0020_neg_4702_03.tif,,"Girls eating lunch at school, San Francisco",,Printed/published,,ms0020_neg_4702_03,,,,,,,,http://www.geonames.org/5391959,,1947,1947,1947,,2 1/4 in,,,,,"Box 466, Folder 4701"
row:prev,,ms0020_neg_4801_06.tif,,Girls playing with sand,,Printed/published,,ms0020_neg_4801_06,,,,,,,,http://www.geonames.org/5391959,,1948,1948,1948,,2 1/4 in,,,,,"Box 466, Folder 4802"
row:prev,,ms0020_neg_4701_05.tif,,"Girls playing, San Francisco",,Unprinted/unpublished,,ms0020_neg_4701_05,,,,,,,,http://www.geonames.org/5391959,,1947,1947,,,2 1/4 in,,,,,"Box 466, Folder 5304"
row:prev,,ms0020_neg_4702_04.tif,,"Three girls watching and eating, San Francisco",,Printed/published,,ms0020_neg_4702_04,,,,,,,,http://www.geonames.org/5391959,,1947,1947,1947,,2 1/4 in,,,,,"Box 466, Folder 4802"
row:prev,,ms0020_neg_4701_07.tif,,"Triad - three groups of three girls, San Francisco",,Printed/published,,ms0020_neg_4701_07,,,,,,,,http://www.geonames.org/5391959,,1947,1947,1947,,2 1/4 in,,,,,"Box 466, Folder 4807"
row:prev,,ms0020_neg_4801_07.tif,,Children: Untitled,,Unprinted/unpublished,,ms0020_neg_4801_07,,,,,,,,http://www.geonames.org/5391959,,1948,1948,,,2 1/4 in,,,,,"Box 466, Folder 4807"
row:prev,,ms0020_neg_4801_05.tif,,Children: Untitled,,Unprinted/unpublished,,ms0020_neg_4801_05,,,,,,,,http://www.geonames.org/5391959,,1948,1948,,,2 1/4 in,,,,,"Box 466, Folder 4808"
row:prev,,ms0020_neg_4701_02.tif,,Children: Untitled,,Unprinted/unpublished,,ms0020_neg_4701_02,,,,,,,,http://www.geonames.org/5391959,,1947,1947,,,2 1/4 in,,,,,"Box 466, Folder 4808"
row:prev,,ms0020_neg_4802_05.tif,,Children: Untitled,,Unprinted/unpublished,,ms0020_neg_4802_05,,,,,,,,http://www.geonames.org/5391959,,1948,1948,,,2 1/4 in,,,,,"Box 466, Folder 4809"
row:prev,,ms0020_neg_4701_04.tif,,Children: Untitled,,Unprinted/unpublished,,ms0020_neg_4701_04,,,,,,,,http://www.geonames.org/5391959,,1947,1947,,,2 1/4 in,,,,,"Box 466, Folder 4810"
row:prev,,ms0020_neg_4801_01.tif,,Children: Untitled,,Unprinted/unpublished,,ms0020_neg_4801_01,,,,,,,,http://www.geonames.org/5391959,,1948,1948,,,2 1/4 in,,,,,"Box 466, Folder 4810"
row:prev,,ms0020_neg_4801_03.tif,,Children: Untitled,,Unprinted/unpublished,,ms0020_neg_4801_03,,,,,,,,http://www.geonames.org/5391959,,1948,1948,,,2 1/4 in,,,,,"Box 466, Folder 4810"
row:prev,,ms0020_neg_4701_06.tif,,Children: Untitled,,Unprinted/unpublished,,ms0020_neg_4701_06,,,,,,,,http://www.geonames.org/5391959,,1947,1947,,,2 1/4 in,,,,,"Box 466, Folder 4807"
row:prev,,ms0020_neg_4701_03.tif,,Children: Untitled,,Unprinted/unpublished,,ms0020_neg_4701_03,,,,,,,,http://www.geonames.org/5391959,,1947,1947,,,2 1/4 in,,,,,"Box 466, Folder 4809"
row:prev,,ms0020_neg_5304_07.tif,,Children: Untitled,,Unprinted/unpublished,,ms0020_neg_5304_07,,,,,,,,http://www.geonames.org/5391959,,1953,1953,,,2 1/4 in,,,,,"Box 466, Folder 4807"
row:prev,,ms0020_neg_4801_02.tif,,Children: Untitled,,Unprinted/unpublished,,ms0020_neg_4801_02,,,,,,,,http://www.geonames.org/5391959,,1948,1948,,,2 1/4 in,,,,,"Box 466, Folder 4809"
row:prev,,ms0020_neg_4802_02.tif,,Children: Untitled,,Unprinted/unpublished,,ms0020_neg_4802_02,,,,,,,,http://www.geonames.org/5391959,,1948,1948,,,2 1/4 in,,,,,"Box 466, Folder 4809"
row:prev,,ms0020_neg_4701_01.tif,,Children: Untitled,,Unprinted/unpublished,,ms0020_neg_4701_01,,,,,,,,http://www.geonames.org/5391959,,1947,1947,,,2 1/4 in,,,,,"Box 466, Folder 4809"
row:prev,,ms0020_neg_4701_08.tif,,Children: Untitled,,Unprinted/unpublished,,ms0020_neg_4701_08,,,,,,,,http://www.geonames.org/5391959,,1947,1947,,,2 1/4 in,,,,,"Box 466, Folder 4808"
row:prev,,ms0020_neg_4802_06.tif,,Children: Untitled,,Unprinted/unpublished,,ms0020_neg_4802_06,,,,,,,,http://www.geonames.org/5391959,,1948,1948,,,2 1/4 in,,,,,"Box 466, Folder 4807"
row:prev,,ms0020_neg_5304_02.tif,,Children: Untitled,,Unprinted/unpublished,,ms0020_neg_5304_02,,,,,,,,http://www.geonames.org/5391959,,1953,1953,,,2 1/4 in,,,,,"Box 466, Folder 4809"
row:prev,,ms0020_neg_4802_07.tif,,Children: Untitled,,Unprinted/unpublished,,ms0020_neg_4802_07,,,,,,,,http://www.geonames.org/5391959,,1948,1948,,,2 1/4 in,,,,,"Box 466, Folder 4809"
row:prev,,ms0020_neg_5401_07.tif,,"Child on mother's shoulder, San Francisco",,Printed/published,At North Beach carnival,ms0020_neg_5401_07,,,,,,,,http://www.geonames.org/5377281,,1954,1954,1954,,2 1/4 in,,,,,"Box 466, Folder 4809"
row:prev,,ms0020_neg_5401_05.tif,,"Child sleeping in mother's arms, San Francisco",,Printed/published,At North Beach carnival,ms0020_neg_5401_05,,,,,,,,http://www.geonames.org/5377281,,1954,1954,1954,,2 1/4 in,,,,,"Box 466, Folder 4807"
row:prev,,ms0020_neg_5401_01.tif,,Crossing The Street,,Printed/published,At North Beach carnival,ms0020_neg_5401_01,,,,,,,,http://www.geonames.org/5377281,,1954,1954,1954,,2 1/4 in,,,,,"Box 466, Folder 4810"
row:prev,,ms0020_neg_5401_06.tif,,"Sleeping child and parents, San Francisco",,Printed/published,At North Beach carnival,ms0020_neg_5401_06,,,,,,,,http://www.geonames.org/5377281,,1954,1954,1954,,2 1/4 in,,,,,"Box 466, Folder 4810"
row:prev,,ms0020_neg_5401_03.tif,,Children: Untitled,,Unprinted/unpublished,At North Beach carnival,ms0020_neg_5401_03,,,,,,,,http://www.geonames.org/5377281,,1954,1954,,,2 1/4 in,,,,,"Box 466, Folder 4808"
row:prev,,ms0020_neg_5401_02.tif,,Children: Untitled,,Unprinted/unpublished,At North Beach carnival,ms0020_neg_5401_02,,,,,,,,http://www.geonames.org/5377281,,1954,1954,,,2 1/4 in,,,,,"Box 466, Folder 4808"
row:prev,,ms0020_neg_5401_08.tif,,Children: Untitled,,Unprinted/unpublished,At North Beach carnival,ms0020_neg_5401_08,,,,,,,,http://www.geonames.org/5377281,,1954,1954,,,2 1/4 in,,,,,"Box 466, Folder 4807"
row:prev,,ms0020_neg_5401_04.tif,,Children: Untitled,,Unprinted/unpublished,At North Beach carnival,ms0020_neg_5401_04,,,,,,,,http://www.geonames.org/5377281,,1954,1954,,,2 1/4 in,,,,,"Box 466, Folder 4808"
row:prev,,ms0020_neg_5304_01.tif,,"Black child leaning on arm, San Francisco",,Printed/published,,ms0020_neg_5304_01,,,,,,,,http://www.geonames.org/5391959,,1953,1953,1953,,2 1/4 in,,,,,"Box 466, Folder 4808"
