parent,extent,collection,collectionCallNumber,masterFilename,series,title,description,accessionNumber,creator,subjectName,subjectPlace,subjectTopic,dateCreated,physicalFormat,physicalDescription,boxFolder,donorProvenance,rightsStatement,rightsHolder,accessRights,publisher,publisherHomepage,resourceType
,2 images,Ruth-Marion Baruch and Pirkle Jones Photographs,MS 20,,"Haight-Ashbury, 1967","""if you see"" (sign), Haight-Ashbury, 1967",,,http://id.loc.gov/authorities/names/n2002034393,,http://www.geonames.org/5354895,http://id.loc.gov/authorities/subjects/sh85060979;http://id.loc.gov/authorities/subjects/sh00002005,1967,http://vocab.getty.edu/aat/300128343,,,The Pirkle Jones Fund of the Marin Community Foundation,Copyright for this collection resides with the Regents of the University of California. The publication or use of any work protected by copyright beyond that allowed by fair use for research or educational purposes requires written permission from the cop,http://digitalcollections.library.ucsc.edu/authorities/show/local/ucsc_agents/uc_board_of_regents,Public,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, California, 95064. (831) 459-2547. speccoll@library.ucsc.edu",http://library.ucsc.edu/speccoll/,http://purl.org/dc/dcmitype/Image
row:prev,,,,ms0020_neg_rmb-6711_12.tif,,"""if you see"" (sign), Haight-Ashbury, 1967",Printed/published,ms0020_neg_rmb-6711_12,,,,,,,35 mm,Box 464,,,,,,,
row:prev,,,,ms0020_neg_rmb-6711_13.tif,,"""if you see"" (sign): Untitled",Unprinted/unpublished,ms0020_neg_rmb-6711_13,,,,,,,35 mm,Box 464,,,,,,,
,1 image,Ruth-Marion Baruch and Pirkle Jones Photographs,MS 20,ms0020_neg_rmb-6702_05.tif,"Haight-Ashbury, 1967","""In the beginning there were people. Some of us had or didn't have beards"" (sign): Untitled",Unprinted/unpublished,ms0020_neg_rmb-6702_05,http://id.loc.gov/authorities/names/n2002034393,,http://www.geonames.org/5354895,http://id.loc.gov/authorities/subjects/sh85060979;http://id.loc.gov/authorities/subjects/sh00002005,1967,,35 mm,Box 464,The Pirkle Jones Fund of the Marin Community Foundation,Copyright for this collection resides with the Regents of the University of California. The publication or use of any work protected by copyright beyond that allowed by fair use for research or educational purposes requires written permission from the cop,http://digitalcollections.library.ucsc.edu/authorities/show/local/ucsc_agents/uc_board_of_regents,Public,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, California, 95064. (831) 459-2547. speccoll@library.ucsc.edu",http://library.ucsc.edu/speccoll/,http://purl.org/dc/dcmitype/Image
,3 images,Ruth-Marion Baruch and Pirkle Jones Photographs,MS 20,,"Haight-Ashbury, 1967","""Jesus"" selling the Oracle, Haight-Ashbury 1967",,,http://id.loc.gov/authorities/names/n2002034393,,http://www.geonames.org/5354895,http://id.loc.gov/authorities/subjects/sh85060979;http://id.loc.gov/authorities/subjects/sh00002005,1967,http://vocab.getty.edu/aat/300128343,,,The Pirkle Jones Fund of the Marin Community Foundation,Copyright for this collection resides with the Regents of the University of California. The publication or use of any work protected by copyright beyond that allowed by fair use for research or educational purposes requires written permission from the cop,http://digitalcollections.library.ucsc.edu/authorities/show/local/ucsc_agents/uc_board_of_regents,Public,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, California, 95064. (831) 459-2547. speccoll@library.ucsc.edu",http://library.ucsc.edu/speccoll/,http://purl.org/dc/dcmitype/Image
row:prev,,,,ms0020_neg_rmb-6704_22.tif,,"""Jesus"" selling the Oracle, Haight-Ashbury 1967",Printed/published,ms0020_neg_rmb-6704_22,,,,,,,35 mm,Box 464,,,,,,,
row:prev,,,,ms0020_neg_rmb-6704_21.tif,,"""Jesus"" selling the Oracle: Untitled",Unprinted/unpublished,ms0020_neg_rmb-6704_21,,,,,,,35 mm,Box 464,,,,,,,
row:prev,,,,ms0020_neg_rmb-6704_20.tif,,"""Jesus"" selling the Oracle: Untitled",Unprinted/unpublished,ms0020_neg_rmb-6704_20,,,,,,,35 mm,Box 464,,,,,,,
,2 images,Ruth-Marion Baruch and Pirkle Jones Photographs,MS 20,,"Haight-Ashbury, 1967","""KEEP OFF STAIRS"" (sign)",,,http://id.loc.gov/authorities/names/n2002034393,,http://www.geonames.org/5354895,http://id.loc.gov/authorities/subjects/sh85060979;http://id.loc.gov/authorities/subjects/sh00002005,1967,http://vocab.getty.edu/aat/300128343,,,The Pirkle Jones Fund of the Marin Community Foundation,Copyright for this collection resides with the Regents of the University of California. The publication or use of any work protected by copyright beyond that allowed by fair use for research or educational purposes requires written permission from the cop,http://digitalcollections.library.ucsc.edu/authorities/show/local/ucsc_agents/uc_board_of_regents,Public,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, California, 95064. (831) 459-2547. speccoll@library.ucsc.edu",http://library.ucsc.edu/speccoll/,http://purl.org/dc/dcmitype/Image
row:prev,,,,ms0020_neg_rmb-6705_35.tif,,"""KEEP OFF STAIRS"" (sign)",Printed/published,ms0020_neg_rmb-6705_35,,,,,,,35 mm,Box 464,,,,,,,
row:prev,,,,ms0020_neg_rmb-6705_34.tif,,"""KEEP OFF STAIRS"" (sign): Untitled",Unprinted/unpublished,ms0020_neg_rmb-6705_34,,,,,,,35 mm,Box 464,,,,,,,
,1 image,Ruth-Marion Baruch and Pirkle Jones Photographs,MS 20,ms0020_neg_rmb-6712_36.tif,"Haight-Ashbury, 1967","""KILL"" (scratched out) sign, Haight-Ashbury 1967",Printed/published,ms0020_neg_rmb-6712_36,http://id.loc.gov/authorities/names/n2002034393,,http://www.geonames.org/5354895,http://id.loc.gov/authorities/subjects/sh85060979;http://id.loc.gov/authorities/subjects/sh00002005,1967,http://vocab.getty.edu/aat/300128343,35 mm,Box 464,The Pirkle Jones Fund of the Marin Community Foundation,Copyright for this collection resides with the Regents of the University of California. The publication or use of any work protected by copyright beyond that allowed by fair use for research or educational purposes requires written permission from the cop,http://digitalcollections.library.ucsc.edu/authorities/show/local/ucsc_agents/uc_board_of_regents,Public,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, California, 95064. (831) 459-2547. speccoll@library.ucsc.edu",http://library.ucsc.edu/speccoll/,http://purl.org/dc/dcmitype/Image
,5 images,Ruth-Marion Baruch and Pirkle Jones Photographs,MS 20,,"Haight-Ashbury, 1967","""LETS"" (sign),Haight-Ashbury 1967",,,http://id.loc.gov/authorities/names/n2002034393,,http://www.geonames.org/5354895,http://id.loc.gov/authorities/subjects/sh85060979;http://id.loc.gov/authorities/subjects/sh00002005,1967,http://vocab.getty.edu/aat/300128343,,,The Pirkle Jones Fund of the Marin Community Foundation,Copyright for this collection resides with the Regents of the University of California. The publication or use of any work protected by copyright beyond that allowed by fair use for research or educational purposes requires written permission from the cop,http://digitalcollections.library.ucsc.edu/authorities/show/local/ucsc_agents/uc_board_of_regents,Public,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, California, 95064. (831) 459-2547. speccoll@library.ucsc.edu",http://library.ucsc.edu/speccoll/,http://purl.org/dc/dcmitype/Image
row:prev,,,,ms0020_neg_rmb-6713_02.tif,,"""LETS"" (sign),Haight-Ashbury 1967",Printed/published,ms0020_neg_rmb-6713_02,,,,,,,35 mm,Box 464,,,,,,,
row:prev,,,,ms0020_neg_rmb-6713_01.tif,,"""LETS"" (sign): Untitled",Unprinted/unpublished,ms0020_neg_rmb-6713_01,,,,,,,35 mm,Box 464,,,,,,,
row:prev,,,,ms0020_neg_rmb-6711_22.tif,,"""LETS"" (sign): Untitled",Unprinted/unpublished,ms0020_neg_rmb-6711_22,,,,,,,35 mm,Box 464,,,,,,,
row:prev,,,,ms0020_neg_rmb-6712_01.tif,,"""LETS"" (sign): Untitled",Unprinted/unpublished,ms0020_neg_rmb-6712_01,,,,,,,35 mm,Box 464,,,,,,,
row:prev,,,,ms0020_neg_rmb-6712_02.tif,,"""LETS"" (sign): Untitled",Unprinted/unpublished,ms0020_neg_rmb-6712_02,,,,,,,35 mm,Box 464,,,,,,,
,1 image,Ruth-Marion Baruch and Pirkle Jones Photographs,MS 20,ms0020_neg_rmb-6712_15.tif,"Haight-Ashbury, 1967","""Make love not war!"" (sign): Untitled",Unprinted/unpublished,ms0020_neg_rmb-6712_15,http://id.loc.gov/authorities/names/n2002034393,,http://www.geonames.org/5354895,http://id.loc.gov/authorities/subjects/sh85060979;http://id.loc.gov/authorities/subjects/sh00002005,1967,http://vocab.getty.edu/aat/300128343,35 mm,Box 464,The Pirkle Jones Fund of the Marin Community Foundation,Copyright for this collection resides with the Regents of the University of California. The publication or use of any work protected by copyright beyond that allowed by fair use for research or educational purposes requires written permission from the cop,http://digitalcollections.library.ucsc.edu/authorities/show/local/ucsc_agents/uc_board_of_regents,Public,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, California, 95064. (831) 459-2547. speccoll@library.ucsc.edu",http://library.ucsc.edu/speccoll/,http://purl.org/dc/dcmitype/Image
,1 image,Ruth-Marion Baruch and Pirkle Jones Photographs,MS 20,ms0020_neg_rmb-6712_07.tif,"Haight-Ashbury, 1967","""NEIL HI! (sign), Haight-Ashbury 1967",Printed/published,ms0020_neg_rmb-6712_07,http://id.loc.gov/authorities/names/n2002034393,,http://www.geonames.org/5354895,http://id.loc.gov/authorities/subjects/sh85060979;http://id.loc.gov/authorities/subjects/sh00002005,1967,http://vocab.getty.edu/aat/300128343,35 mm,Box 464,The Pirkle Jones Fund of the Marin Community Foundation,Copyright for this collection resides with the Regents of the University of California. The publication or use of any work protected by copyright beyond that allowed by fair use for research or educational purposes requires written permission from the cop,http://digitalcollections.library.ucsc.edu/authorities/show/local/ucsc_agents/uc_board_of_regents,Public,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, California, 95064. (831) 459-2547. speccoll@library.ucsc.edu",http://library.ucsc.edu/speccoll/,http://purl.org/dc/dcmitype/Image
,3 images,Ruth-Marion Baruch and Pirkle Jones Photographs,MS 20,,"Haight-Ashbury, 1967","""PAX"" (sign), Haight-Ashbury 1967",,,http://id.loc.gov/authorities/names/n2002034393,,http://www.geonames.org/5354895,http://id.loc.gov/authorities/subjects/sh85060979;http://id.loc.gov/authorities/subjects/sh00002005,1967,http://vocab.getty.edu/aat/300128343,,,The Pirkle Jones Fund of the Marin Community Foundation,Copyright for this collection resides with the Regents of the University of California. The publication or use of any work protected by copyright beyond that allowed by fair use for research or educational purposes requires written permission from the cop,http://digitalcollections.library.ucsc.edu/authorities/show/local/ucsc_agents/uc_board_of_regents,Public,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, California, 95064. (831) 459-2547. speccoll@library.ucsc.edu",http://library.ucsc.edu/speccoll/,http://purl.org/dc/dcmitype/Image
row:prev,,,,ms0020_neg_rmb-6712_12.tif,,"""PAX"" (sign), Haight-Ashbury 1967",Printed/published,ms0020_neg_rmb-6712_12,,,,,,,35 mm,Box 464,,,,,,,
row:prev,,,,ms0020_neg_rmb-6711_03.tif,,"""PAX"" (sign): Untitled",Unprinted/unpublished,ms0020_neg_rmb-6711_03,,,,,,,35 mm,Box 464,,,,,,,
row:prev,,,,ms0020_neg_rmb-6712_11.tif,,"""PAX"" (sign): Untitled",Unprinted/unpublished,ms0020_neg_rmb-6712_11,,,,,,,35 mm,Box 464,,,,,,,
,1 image,Ruth-Marion Baruch and Pirkle Jones Photographs,MS 20,ms0020_neg_rmb-6708_05.tif,"Haight-Ashbury, 1967","""Peace"" (sign)",Printed/published,ms0020_neg_rmb-6708_05,http://id.loc.gov/authorities/names/n2002034393,,http://www.geonames.org/5354895,http://id.loc.gov/authorities/subjects/sh85060979;http://id.loc.gov/authorities/subjects/sh00002005,1967,http://vocab.getty.edu/aat/300128343,35 mm,Box 464,The Pirkle Jones Fund of the Marin Community Foundation,Copyright for this collection resides with the Regents of the University of California. The publication or use of any work protected by copyright beyond that allowed by fair use for research or educational purposes requires written permission from the cop,http://digitalcollections.library.ucsc.edu/authorities/show/local/ucsc_agents/uc_board_of_regents,Public,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, California, 95064. (831) 459-2547. speccoll@library.ucsc.edu",http://library.ucsc.edu/speccoll/,http://purl.org/dc/dcmitype/Image
,1 image,Ruth-Marion Baruch and Pirkle Jones Photographs,MS 20,ms0020_neg_rmb-6702_26.tif,"Haight-Ashbury, 1967","""Please don't lean on window"" (sign): Untitled",Unprinted/unpublished,ms0020_neg_rmb-6702_26,http://id.loc.gov/authorities/names/n2002034393,,http://www.geonames.org/5354895,http://id.loc.gov/authorities/subjects/sh85060979;http://id.loc.gov/authorities/subjects/sh00002005,1967,http://vocab.getty.edu/aat/300128343,35 mm,Box 464,The Pirkle Jones Fund of the Marin Community Foundation,Copyright for this collection resides with the Regents of the University of California. The publication or use of any work protected by copyright beyond that allowed by fair use for research or educational purposes requires written permission from the cop,http://digitalcollections.library.ucsc.edu/authorities/show/local/ucsc_agents/uc_board_of_regents,Public,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, California, 95064. (831) 459-2547. speccoll@library.ucsc.edu",http://library.ucsc.edu/speccoll/,http://purl.org/dc/dcmitype/Image
,2 images,Ruth-Marion Baruch and Pirkle Jones Photographs,MS 20,,"Haight-Ashbury, 1967","""PLEASE"" (sign), Haight-Ashbury 1967",,,http://id.loc.gov/authorities/names/n2002034393,,http://www.geonames.org/5354895,http://id.loc.gov/authorities/subjects/sh85060979;http://id.loc.gov/authorities/subjects/sh00002005,1967,http://vocab.getty.edu/aat/300128343,,,The Pirkle Jones Fund of the Marin Community Foundation,Copyright for this collection resides with the Regents of the University of California. The publication or use of any work protected by copyright beyond that allowed by fair use for research or educational purposes requires written permission from the cop,http://digitalcollections.library.ucsc.edu/authorities/show/local/ucsc_agents/uc_board_of_regents,Public,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, California, 95064. (831) 459-2547. speccoll@library.ucsc.edu",http://library.ucsc.edu/speccoll/,http://purl.org/dc/dcmitype/Image
row:prev,,,,ms0020_neg_rmb-6712_17.tif,,"""PLEASE"" (sign), Haight-Ashbury 1967",Printed/published,ms0020_neg_rmb-6712_17,,,,,,,35 mm,Box 464,,,,,,,
row:prev,,,,ms0020_neg_rmb-6712_16.tif,,"""PLEASE"" (sign): Untitled",Unprinted/unpublished,ms0020_neg_rmb-6712_16,,,,,,,35 mm,Box 464,,,,,,,
,2 images,Ruth-Marion Baruch and Pirkle Jones Photographs,MS 20,,"Haight-Ashbury, 1967","""RING BELL"" (sign), Haight-Ashbury 1967",,,http://id.loc.gov/authorities/names/n2002034393,,http://www.geonames.org/5354895,http://id.loc.gov/authorities/subjects/sh85060979;http://id.loc.gov/authorities/subjects/sh00002005,1967,http://vocab.getty.edu/aat/300128343,,,The Pirkle Jones Fund of the Marin Community Foundation,Copyright for this collection resides with the Regents of the University of California. The publication or use of any work protected by copyright beyond that allowed by fair use for research or educational purposes requires written permission from the cop,http://digitalcollections.library.ucsc.edu/authorities/show/local/ucsc_agents/uc_board_of_regents,Public,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, California, 95064. (831) 459-2547. speccoll@library.ucsc.edu",http://library.ucsc.edu/speccoll/,http://purl.org/dc/dcmitype/Image
row:prev,,,,ms0020_neg_rmb-6712_09.tif,,"""RING BELL"" (sign), Haight-Ashbury 1967",Printed/published,ms0020_neg_rmb-6712_09,,,,,,,35 mm,Box 464,,,,,,,
row:prev,,,,ms0020_neg_rmb-6712_08.tif,,"""RING BELL"" (sign): Untitled",Unprinted/unpublished,ms0020_neg_rmb-6712_08,,,,,,,35 mm,Box 464,,,,,,,
,2 images,Ruth-Marion Baruch and Pirkle Jones Photographs,MS 20,,"Haight-Ashbury, 1967","""San Francisco"" (sign), Haight-Ashbury 1967",,,http://id.loc.gov/authorities/names/n2002034393,,http://www.geonames.org/5354895,http://id.loc.gov/authorities/subjects/sh85060979;http://id.loc.gov/authorities/subjects/sh00002005,1967,http://vocab.getty.edu/aat/300128343,,,The Pirkle Jones Fund of the Marin Community Foundation,Copyright for this collection resides with the Regents of the University of California. The publication or use of any work protected by copyright beyond that allowed by fair use for research or educational purposes requires written permission from the cop,http://digitalcollections.library.ucsc.edu/authorities/show/local/ucsc_agents/uc_board_of_regents,Public,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, California, 95064. (831) 459-2547. speccoll@library.ucsc.edu",http://library.ucsc.edu/speccoll/,http://purl.org/dc/dcmitype/Image
row:prev,,,,ms0020_neg_rmb-6712_04.tif,,"""San Francisco"" (sign), Haight-Ashbury 1967",Printed/published,ms0020_neg_rmb-6712_04,,,,,,,35 mm,Box 464,,,,,,,
row:prev,,,,ms0020_neg_rmb-6712_03.tif,,"""San Francisco"" (sign): Untitled",Unprinted/unpublished,ms0020_neg_rmb-6712_03,,,,,,,35 mm,Box 464,,,,,,,
,2 images,Ruth-Marion Baruch and Pirkle Jones Photographs,MS 20,,"Haight-Ashbury, 1967","""Sorry! Sorry Sorry"" (sign), Haight-Ashbury 1967",,,http://id.loc.gov/authorities/names/n2002034393,,http://www.geonames.org/5354895,http://id.loc.gov/authorities/subjects/sh85060979;http://id.loc.gov/authorities/subjects/sh00002005,1967,http://vocab.getty.edu/aat/300128343,,,The Pirkle Jones Fund of the Marin Community Foundation,Copyright for this collection resides with the Regents of the University of California. The publication or use of any work protected by copyright beyond that allowed by fair use for research or educational purposes requires written permission from the cop,http://digitalcollections.library.ucsc.edu/authorities/show/local/ucsc_agents/uc_board_of_regents,Public,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, California, 95064. (831) 459-2547. speccoll@library.ucsc.edu",http://library.ucsc.edu/speccoll/,http://purl.org/dc/dcmitype/Image
row:prev,,,,ms0020_neg_rmb-6702_23.tif,,"""Sorry! Sorry Sorry"" (sign), Haight-Ashbury 1967",Printed/published,ms0020_neg_rmb-6702_23,,,,,,,35 mm,Box 464,,,,,,,
row:prev,,,,ms0020_neg_rmb-6702_24.tif,,"""Sorry! Sorry Sorry"" (sign): Untitled",Unprinted/unpublished,ms0020_neg_rmb-6702_24,,,,,,,35 mm,Box 464,,,,,,,
,1 image,Ruth-Marion Baruch and Pirkle Jones Photographs,MS 20,ms0020_neg_rmb-6702_04.tif,"Haight-Ashbury, 1967","""SPARE CHANGE"" (sign)",Printed/published,ms0020_neg_rmb-6702_04,http://id.loc.gov/authorities/names/n2002034393,,http://www.geonames.org/5354895,http://id.loc.gov/authorities/subjects/sh85060979;http://id.loc.gov/authorities/subjects/sh00002005,1967,,35 mm,Box 464,The Pirkle Jones Fund of the Marin Community Foundation,Copyright for this collection resides with the Regents of the University of California. The publication or use of any work protected by copyright beyond that allowed by fair use for research or educational purposes requires written permission from the cop,http://digitalcollections.library.ucsc.edu/authorities/show/local/ucsc_agents/uc_board_of_regents,Public,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, California, 95064. (831) 459-2547. speccoll@library.ucsc.edu",http://library.ucsc.edu/speccoll/,http://purl.org/dc/dcmitype/Image
