workType,filename,parent,extent,collectionCallNumber,title,description,descriptionAddress,creator,contributor,dateCreatedDisplay,dateCreated,subjectTopic,subjectPlace,subjectName,language,resourceType,physicalFormat,physicalDescription,donorProvenance,masterFilename,publisher,publisherHomepage,rightsStatement,rightsHolder,accessRights,rightsStatus,relatedResource,accessionNumber,itemCallNumber,boxFolder
work,ms0188_pho_0009.tif,row:3,,,Loma Prieta Earthquake. Cooper House Gable,"Note on verso: ""Cooperhouse gable Oct. 1989. File - 636-B-31.""",110 Cooper Street,"Lowry, Alexander, 1937-2010",,1989-10,1989-10,info:lc/authorities/subjects/sh2006020106; info:lc/authorities/subjects/sh85006611; info:lc/authorities/subjects/sh2003006457,http://www.geonames.org/5393052,,http://id.loc.gov/vocabulary/iso639-2/eng,http://purl.org/dc/dcmitype/Image,http://vocab.getty.edu/aat/300128695,8 x 10 in.,Alexander Lowry,ms0188_pho_0009.tif,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, CA, 95064. (831) 459-2547. speccoll@library.ucsc.edu",guides.library.ucsc.edu/speccoll,"Property rights for this work reside with the University of California. Literary rights, including copyright, are retained by the creators and their heirs. The digital copy of this work is intended to support research, teaching, and private study. The publication or use of any work protected by copyright beyond that allowed by fair use for research or educational purposes requires written permission from the copyright owner. Responsibility for obtaining permissions, and for any use rests exclusively with the user. For more information on copyright or to order an image, please visit guides.library.ucsc.edu/speccoll/reproduction-publication. No further duplication or reproduction is allowed without permission from Alexander Lowry.",Alexander Lowry,Public,http://rightsstatements.org/vocab/InC/1.0/,,ms0188_pho_0009,,Box 1
work,ms0188_pho_0010.tif,row:3,,,Loma Prieta Earthquake. Cooper House,"Note on verso: ""Cooperhouse. Water spray holds dust down after Oct. 1989 'quake. File - 636-C-29.""",110 Cooper Street,"Lowry, Alexander, 1937-2010",,1989-10,1989-10,info:lc/authorities/subjects/sh2006020106; info:lc/authorities/subjects/sh85031450; info:lc/authorities/subjects/sh2003006457,http://www.geonames.org/5393052,,http://id.loc.gov/vocabulary/iso639-2/eng,http://purl.org/dc/dcmitype/Image,http://vocab.getty.edu/aat/300128695,8 x 10 in.,Alexander Lowry,ms0188_pho_0010.tif,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, CA, 95064. (831) 459-2547. speccoll@library.ucsc.edu",guides.library.ucsc.edu/speccoll,"Property rights for this work reside with the University of California. Literary rights, including copyright, are retained by the creators and their heirs. The digital copy of this work is intended to support research, teaching, and private study. The publication or use of any work protected by copyright beyond that allowed by fair use for research or educational purposes requires written permission from the copyright owner. Responsibility for obtaining permissions, and for any use rests exclusively with the user. For more information on copyright or to order an image, please visit guides.library.ucsc.edu/speccoll/reproduction-publication. No further duplication or reproduction is allowed without permission from Alexander Lowry.",Alexander Lowry,Public,http://rightsstatements.org/vocab/InC/1.0/,,ms0188_pho_0010,,Box 1
work,ms0188_pho_0011.tif,row:3,,,Loma Prieta Earthquake. Files retrieved from the Hihn Building,"Note on verso: ""Files retrieved from Hihn building. Claw retrieved these. Oct. 1989. File - 636-E-3.""",1201 Pacific Avenue,"Lowry, Alexander, 1937-2010",,1989-10,1989-10,info:lc/authorities/subjects/sh2006020106; info:lc/authorities/subjects/sh85048197; info:lc/authorities/subjects/sh2003006457,http://www.geonames.org/5393052,,http://id.loc.gov/vocabulary/iso639-2/eng,http://purl.org/dc/dcmitype/Image,http://vocab.getty.edu/aat/300128695,8 x 10 in.,Alexander Lowry,ms0188_pho_0011.tif,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, CA, 95064. (831) 459-2547. speccoll@library.ucsc.edu",guides.library.ucsc.edu/speccoll,"Property rights for this work reside with the University of California. Literary rights, including copyright, are retained by the creators and their heirs. The digital copy of this work is intended to support research, teaching, and private study. The publication or use of any work protected by copyright beyond that allowed by fair use for research or educational purposes requires written permission from the copyright owner. Responsibility for obtaining permissions, and for any use rests exclusively with the user. For more information on copyright or to order an image, please visit guides.library.ucsc.edu/speccoll/reproduction-publication. No further duplication or reproduction is allowed without permission from Alexander Lowry.",Alexander Lowry,Public,http://rightsstatements.org/vocab/InC/1.0/,,ms0188_pho_0011,,Box 1
work,ms0188_pho_0012.tif,row:3,,,Loma Prieta Earthquake. Demolition of the hardware store on Pacific Avenue,"Note on verso: ""St. George Hotel on right. Demolition of hardware store. Oct. 1989. File - 636-E-10.""",Pacific Avenue,"Lowry, Alexander, 1937-2010",,1989-10,1989-10,info:lc/authorities/subjects/sh2006020106; info:lc/authorities/subjects/sh85148606; info:lc/authorities/subjects/sh2003006457,http://www.geonames.org/5393052,,http://id.loc.gov/vocabulary/iso639-2/eng,http://purl.org/dc/dcmitype/Image,http://vocab.getty.edu/aat/300128695,8 x 10 in.,Alexander Lowry,ms0188_pho_0012.tif,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, CA, 95064. (831) 459-2547. speccoll@library.ucsc.edu",guides.library.ucsc.edu/speccoll,"Property rights for this work reside with the University of California. Literary rights, including copyright, are retained by the creators and their heirs. The digital copy of this work is intended to support research, teaching, and private study. The publication or use of any work protected by copyright beyond that allowed by fair use for research or educational purposes requires written permission from the copyright owner. Responsibility for obtaining permissions, and for any use rests exclusively with the user. For more information on copyright or to order an image, please visit guides.library.ucsc.edu/speccoll/reproduction-publication. No further duplication or reproduction is allowed without permission from Alexander Lowry.",Alexander Lowry,Public,http://rightsstatements.org/vocab/InC/1.0/,,ms0188_pho_0012,,Box 1
work,ms0188_pho_0013.tif,row:3,,,Loma Prieta Earthquake. Ford's Department Store rubble,"Note on verso: ""Rubble from Ford's Department Store in front. After Oct. 1989 earthquake. File - 636-F-22"". Duplicate print: ms0188_pho_0034, with note on verso, ""Gelatin silver print early 1990's"".",1101 Pacific Avenue,"Lowry, Alexander, 1937-2010",,1989-10,1989-10,info:lc/authorities/subjects/sh2006020106; info:lc/authorities/subjects/sh85148606; info:lc/authorities/subjects/sh2003006457,http://www.geonames.org/5393052,,http://id.loc.gov/vocabulary/iso639-2/eng,http://purl.org/dc/dcmitype/Image,http://vocab.getty.edu/aat/300128695,8 x 10 in.,Alexander Lowry,ms0188_pho_0013.tif,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, CA, 95064. (831) 459-2547. speccoll@library.ucsc.edu",guides.library.ucsc.edu/speccoll,"Property rights for this work reside with the University of California. Literary rights, including copyright, are retained by the creators and their heirs. The digital copy of this work is intended to support research, teaching, and private study. The publication or use of any work protected by copyright beyond that allowed by fair use for research or educational purposes requires written permission from the copyright owner. Responsibility for obtaining permissions, and for any use rests exclusively with the user. For more information on copyright or to order an image, please visit guides.library.ucsc.edu/speccoll/reproduction-publication. No further duplication or reproduction is allowed without permission from Alexander Lowry.",Alexander Lowry,Public,http://rightsstatements.org/vocab/InC/1.0/,,ms0188_pho_0013,,Box 1
work,ms0188_pho_0014.tif,row:3,,,Loma Prieta Earthquake. Ford's Department Store rubble,"Note on verso: ""Fords Department Store rubble. Oct. 1989. File - 636-F-34""",1101 Pacific Avenue,"Lowry, Alexander, 1937-2010",,1989-10,1989-10,info:lc/authorities/subjects/sh2006020106; info:lc/authorities/subjects/sh85121770; info:lc/authorities/subjects/sh85148606; info:lc/authorities/subjects/sh2003006457,http://www.geonames.org/5393052,,http://id.loc.gov/vocabulary/iso639-2/eng,http://purl.org/dc/dcmitype/Image,http://vocab.getty.edu/aat/300128695,8 x 10 in.,Alexander Lowry,ms0188_pho_0014.tif,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, CA, 95064. (831) 459-2547. speccoll@library.ucsc.edu",guides.library.ucsc.edu/speccoll,"Property rights for this work reside with the University of California. Literary rights, including copyright, are retained by the creators and their heirs. The digital copy of this work is intended to support research, teaching, and private study. The publication or use of any work protected by copyright beyond that allowed by fair use for research or educational purposes requires written permission from the copyright owner. Responsibility for obtaining permissions, and for any use rests exclusively with the user. For more information on copyright or to order an image, please visit guides.library.ucsc.edu/speccoll/reproduction-publication. No further duplication or reproduction is allowed without permission from Alexander Lowry.",Alexander Lowry,Public,http://rightsstatements.org/vocab/InC/1.0/,,ms0188_pho_0014,,Box 1
work,ms0188_pho_0015.tif,row:3,,,"Loma Prieta Earthquake. Pacific Avenue, with the Del Mar Theater","Note on verso: ""Pacific Ave. Del Mar Theater. Oct. 1989 File - 636-G-9.",1124 Pacific Avenue,"Lowry, Alexander, 1937-2010",,1989-10,1989-10,info:lc/authorities/subjects/sh2006020106; info:lc/authorities/subjects/sh85121770; info:lc/authorities/subjects/sh85088079; info:lc/authorities/subjects/sh2003006457,http://www.geonames.org/5393052,,http://id.loc.gov/vocabulary/iso639-2/eng,http://purl.org/dc/dcmitype/Image,http://vocab.getty.edu/aat/300128695,8 x 10 in.,Alexander Lowry,ms0188_pho_0015.tif,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, CA, 95064. (831) 459-2547. speccoll@library.ucsc.edu",guides.library.ucsc.edu/speccoll,"Property rights for this work reside with the University of California. Literary rights, including copyright, are retained by the creators and their heirs. The digital copy of this work is intended to support research, teaching, and private study. The publication or use of any work protected by copyright beyond that allowed by fair use for research or educational purposes requires written permission from the copyright owner. Responsibility for obtaining permissions, and for any use rests exclusively with the user. For more information on copyright or to order an image, please visit guides.library.ucsc.edu/speccoll/reproduction-publication. No further duplication or reproduction is allowed without permission from Alexander Lowry.",Alexander Lowry,Public,http://rightsstatements.org/vocab/InC/1.0/,,ms0188_pho_0015,,Box 1
work,ms0188_pho_0016.tif,row:3,,,Loma Prieta Earthquake. Dr. Zwerling's office,"Note on verso: ""Dr. Zwerlings office. Demolition photo. October 1989 File - 636-E-13"". Duplicate print: ms0188_pho_0032, with note on verso: ""File #636-E-13, gelatin silver print 1990's"".",1527 Pacific Avenue,"Lowry, Alexander, 1937-2010",,1989-10,1989-10,info:lc/authorities/subjects/sh2006020106; info:lc/authorities/subjects/sh85121770; info:lc/authorities/subjects/sh2003006457,http://www.geonames.org/5393052,,http://id.loc.gov/vocabulary/iso639-2/eng,http://purl.org/dc/dcmitype/Image,http://vocab.getty.edu/aat/300128695,8 x 10 in.,Alexander Lowry,ms0188_pho_0016.tif,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, CA, 95064. (831) 459-2547. speccoll@library.ucsc.edu",guides.library.ucsc.edu/speccoll,"Property rights for this work reside with the University of California. Literary rights, including copyright, are retained by the creators and their heirs. The digital copy of this work is intended to support research, teaching, and private study. The publication or use of any work protected by copyright beyond that allowed by fair use for research or educational purposes requires written permission from the copyright owner. Responsibility for obtaining permissions, and for any use rests exclusively with the user. For more information on copyright or to order an image, please visit guides.library.ucsc.edu/speccoll/reproduction-publication. No further duplication or reproduction is allowed without permission from Alexander Lowry.",Alexander Lowry,Public,http://rightsstatements.org/vocab/InC/1.0/,,ms0188_pho_0016,,Box 1
work,ms0188_pho_0017.tif,row:3,,,"Loma Prieta Earthquake. Pacific Avenue, with Colonial and Good Times Buildings","Note on verso: ""Colonial building on right Good Times next to it, Pacific Ave. Oct. 1989 File - 636-G-15""",1114 Pacific Avenue\; 1110 Pacific Avenue,"Lowry, Alexander, 1937-2010",,1989-10,1989-10,info:lc/authorities/subjects/sh2006020106; info:lc/authorities/subjects/sh85121770; info:lc/authorities/subjects/sh85148606; info:lc/authorities/subjects/sh2003006457,http://www.geonames.org/5393052,,http://id.loc.gov/vocabulary/iso639-2/eng,http://purl.org/dc/dcmitype/Image,http://vocab.getty.edu/aat/300128695,8 x 10 in.,Alexander Lowry,ms0188_pho_0017.tif,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, CA, 95064. (831) 459-2547. speccoll@library.ucsc.edu",guides.library.ucsc.edu/speccoll,"Property rights for this work reside with the University of California. Literary rights, including copyright, are retained by the creators and their heirs. The digital copy of this work is intended to support research, teaching, and private study. The publication or use of any work protected by copyright beyond that allowed by fair use for research or educational purposes requires written permission from the copyright owner. Responsibility for obtaining permissions, and for any use rests exclusively with the user. For more information on copyright or to order an image, please visit guides.library.ucsc.edu/speccoll/reproduction-publication. No further duplication or reproduction is allowed without permission from Alexander Lowry.",Alexander Lowry,Public,http://rightsstatements.org/vocab/InC/1.0/,,ms0188_pho_0017,,Box 1
work,ms0188_pho_0019.tif,row:3,,,Loma Prieta Earthquake. River Street home,"Note on verso: ""River Street home. Oct. 1989. File - 636-H-6""",River Street,"Lowry, Alexander, 1937-2010",,1989-10,1989-10,info:lc/authorities/subjects/sh2006020106; info:lc/authorities/subjects/sh85147932; info:lc/authorities/subjects/sh2003006457,http://www.geonames.org/5393052,,http://id.loc.gov/vocabulary/iso639-2/eng,http://purl.org/dc/dcmitype/Image,http://vocab.getty.edu/aat/300128695,8 x 10 in.,Alexander Lowry,ms0188_pho_0019.tif,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, CA, 95064. (831) 459-2547. speccoll@library.ucsc.edu",guides.library.ucsc.edu/speccoll,"Property rights for this work reside with the University of California. Literary rights, including copyright, are retained by the creators and their heirs. The digital copy of this work is intended to support research, teaching, and private study. The publication or use of any work protected by copyright beyond that allowed by fair use for research or educational purposes requires written permission from the copyright owner. Responsibility for obtaining permissions, and for any use rests exclusively with the user. For more information on copyright or to order an image, please visit guides.library.ucsc.edu/speccoll/reproduction-publication. No further duplication or reproduction is allowed without permission from Alexander Lowry.",Alexander Lowry,Public,http://rightsstatements.org/vocab/InC/1.0/,,ms0188_pho_0019,,Box 1
work,ms0188_pho_0020.tif,row:3,,,Loma Prieta Earthquake. Former site of Shandry Dan and Shen's Gallery,"Note on verso: ""Shandry Dan and Shen's Gallery were here. Oct. 1989. File - 636-J-2.",107 Cooper Street\; 109 Cooper Street,"Lowry, Alexander, 1937-2010",,1989-10,1989-10,info:lc/authorities/subjects/sh2006020106; info:lc/authorities/subjects/sh2003006457,http://www.geonames.org/5393052,,http://id.loc.gov/vocabulary/iso639-2/eng,http://purl.org/dc/dcmitype/Image,http://vocab.getty.edu/aat/300128695,8 x 10 in.,Alexander Lowry,ms0188_pho_0020.tif,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, CA, 95064. (831) 459-2547. speccoll@library.ucsc.edu",guides.library.ucsc.edu/speccoll,"Property rights for this work reside with the University of California. Literary rights, including copyright, are retained by the creators and their heirs. The digital copy of this work is intended to support research, teaching, and private study. The publication or use of any work protected by copyright beyond that allowed by fair use for research or educational purposes requires written permission from the copyright owner. Responsibility for obtaining permissions, and for any use rests exclusively with the user. For more information on copyright or to order an image, please visit guides.library.ucsc.edu/speccoll/reproduction-publication. No further duplication or reproduction is allowed without permission from Alexander Lowry.",Alexander Lowry,Public,http://rightsstatements.org/vocab/InC/1.0/,,ms0188_pho_0020,,Box 1
