workType,parent,filename,extent,masterFilename,collectionCallNumber,title,creator,description,dateCreatedDisplay,dateCreated,subjectTopic,subjectName,subjectPlace,resourceType,physicalFormat,physicalDescription,staffNote,rightsStatement,rightsHolder,accessRights,rightsStatus,publisher,publisherHomepage,boxFolder,accessionNumber
work,row:2,ms0002_pho_0184.tif,,ms0002_pho_0184.tif,,Tree trunk and branches,http://id.loc.gov/authorities/names/n79056359,,1962-1968,1962; 1963; 1964; 1965; 1966; 1967; 1968,http://id.loc.gov/authorities/subjects/sh85137241; Campus grounds,,,http://purl.org/dc/dcmitype/Image,http://vocab.getty.edu/aat/300128695,10 x 10 1/2 in,,,,,,,,Box 3,ms0002_pho_0184
work,row:2,ms0002_pho_0422.tif,,ms0002_pho_0422.tif,,Tree trunk and roots,http://id.loc.gov/authorities/names/n79056359,,1962-1968,1962; 1963; 1964; 1965; 1966; 1967; 1968,http://id.loc.gov/authorities/subjects/sh85137241; Campus grounds,,,http://purl.org/dc/dcmitype/Image,http://vocab.getty.edu/aat/300128695,15 1/2 x 16 3/4 in,"This image is duplicated in ms0002_pho_0203, ms0002_pho_0227 ms0002_pho_0276, ms0002_pho_0278, ms0002_pho_0279, and ms0002_pho_0447. UCR CMP #   1987.0027.6.UCSC.21.10",,,,,,,Box 5,ms0002_pho_0422
work,row:2,ms0002_pho_0045.tif,,ms0002_pho_0045.tif,,UC Santa Cruz: first registration day,http://id.loc.gov/authorities/names/n79056359,,1965-09-28,1965-09-28,http://id.loc.gov/authorities/subjects/sh85028356,,,http://purl.org/dc/dcmitype/Image,http://vocab.getty.edu/aat/300128695,5 1/4 x 8 in,"Chancellor's Memo, July 1965: ""Over 600 students will begin orientation and registration on Tuesday and Wednesday, September 28-29 with sixty members of the faculty on hand to welcome and counsel. Instruction will start on Monday, October 4. Of the initial student group, 500 will be freshmen, most of the remainder juniors, but a half dozen will be graduate students. Over 500 students have requested University housing in the fall, causing the Business Services and Physical Planning offices to make arrangements for two additional clusters of trailers with total accommodations for 512 students.""  This image is duplicated in ms0002_pho_0046, ms0002_pho_0047, ms0002_pho_0061, ms0002_pho_0062, ms0002_pho_0063, and ms0002_pho_0380.",,,,,,,Box 1,ms0002_pho_0045
work,row:2,ms0002_pho_0123.tif,,ms0002_pho_0123.tif,,UC Santa Cruz: first registration day,http://id.loc.gov/authorities/names/n79056359,,1965-09-28,1965-09-28,http://id.loc.gov/authorities/subjects/sh85028356,,,http://purl.org/dc/dcmitype/Image,http://vocab.getty.edu/aat/300128695,"7 1/4 x 7 1/4 in,","Chancellor's Memo, July 1965: ""Over 600 students will begin orientation and registration on Tuesday and Wednesday, September 28-29 with sixty members of the faculty on hand to welcome and counsel. Instruction will start on Monday, October 4. Of the initial student group, 500 will be freshmen, most of the remainder juniors, but a half dozen will be graduate students. Over 500 students have requested University housing in the fall, causing the Business Services and Physical Planning offices to make arrangements for two additional clusters of trailers with total accommodations for 512 students.""  This image is duplicated in ms0002_pho_0124, ms0002_pho_0125, and ms0002_pho_0400.",,,,,,,Box 1,ms0002_pho_0123
work,row:2,ms0002_pho_0044.tif,,ms0002_pho_0044.tif,,UC Santa Cruz: first registration day,http://id.loc.gov/authorities/names/n79056359,,1965-09-28,1965-09-28,http://id.loc.gov/authorities/subjects/sh85028356,,,http://purl.org/dc/dcmitype/Image,http://vocab.getty.edu/aat/300128695,10 1/2 x 13 1/2 in,"Chancellor's Memo, July 1965: ""Over 600 students will begin orientation and registration on Tuesday and Wednesday, September 28-29 with sixty members of the faculty on hand to welcome and counsel. Instruction will start on Monday, October 4. Of the initial student group, 500 will be freshmen, most of the remainder juniors, but a half dozen will be graduate students. Over 500 students have requested University housing in the fall, causing the Business Services and Physical Planning offices to make arrangements for two additional clusters of trailers with total accommodations for 512 students.""  This image is duplicated in ms0002_pho_0043, ms0002_pho_0161, ms0002_pho_0162, ms0002_pho_0163, ms0002_pho_0164, and ms0002_pho_0415.",,,,,,,Box 1,ms0002_pho_0044
work,row:2,ms0002_pho_0135.tif,,ms0002_pho_0135.tif,,UC Santa Cruz: first registration day,http://id.loc.gov/authorities/names/n79056359,,1965-09-28,1965-09-28,http://id.loc.gov/authorities/subjects/sh85028356,,,http://purl.org/dc/dcmitype/Image,http://vocab.getty.edu/aat/300128695,7 1/2 x 9 1/2 in,"Chancellor's Memo, July 1965: ""Over 600 students will begin orientation and registration on Tuesday and Wednesday, September 28-29 with sixty members of the faculty on hand to welcome and counsel. Instruction will start on Monday, October 4. Of the initial student group, 500 will be freshmen, most of the remainder juniors, but a half dozen will be graduate students. Over 500 students have requested University housing in the fall, causing the Business Services and Physical Planning offices to make arrangements for two additional clusters of trailers with total accommodations for 512 students.""  This image is duplicated in ms0002_pho_0134, and ms0002_pho_0401",,,,,,,Box 1,ms0002_pho_0135
work,row:2,ms0002_pho_0112.tif,,ms0002_pho_0112.tif,,UC Santa Cruz: first registration day,http://id.loc.gov/authorities/names/n79056359,,1965-09-28,1965-09-28,http://id.loc.gov/authorities/subjects/sh85028356,,,http://purl.org/dc/dcmitype/Image,http://vocab.getty.edu/aat/300128695,"7 1/4 x 7 1/4 in,","Chancellor's Memo, July 1965: ""Over 600 students will begin orientation and registration on Tuesday and Wednesday, September 28-29 with sixty members of the faculty on hand to welcome and counsel. Instruction will start on Monday, October 4. Of the initial student group, 500 will be freshmen, most of the remainder juniors, but a half dozen will be graduate students. Over 500 students have requested University housing in the fall, causing the Business Services and Physical Planning offices to make arrangements for two additional clusters of trailers with total accommodations for 512 students.""  This image is duplicated in ms0002_pho_0109, ms0002_pho_0111, ms0002_pho_0132, ms0002_pho_0133, and ms0002_pho_0403",,,,,,,Box 1,ms0002_pho_0112
work,row:2,ms0002_pho_0048.tif,,ms0002_pho_0048.tif,,"UC Santa Cruz: first registration day: Page Smith, provost of Cowell College, giving directions to a student",http://id.loc.gov/authorities/names/n79056359,,1965-09-28,1965-09-28,http://id.loc.gov/authorities/subjects/sh85010201; http://id.loc.gov/authorities/subjects/sh85028356,http://id.loc.gov/authorities/names/n79056180,,http://purl.org/dc/dcmitype/Image,http://vocab.getty.edu/aat/300128695,6 1/4 x 9 in,"Chancellor's Memo, July 1965: ""Over 600 students will begin orientation and registration on Tuesday and Wednesday, September 28-29 with sixty members of the faculty on hand to welcome and counsel. Instruction will start on Monday, October 4. Of the initial student group, 500 will be freshmen, most of the remainder juniors, but a half dozen will be graduate students. Over 500 students have requested University housing in the fall, causing the Business Services and Physical Planning offices to make arrangements for two additional clusters of trailers with total accommodations for 512 students.""  This image is duplicated in ms0002_pho_0042, ms0002_pho_0049, ms0002_pho_0050, ms0002_pho_0051, ms0002_pho_0052, ms0002_pho_0053, and ms0002_pho_0054.",,,,,,,Box 1,ms0002_pho_0048
work,row:2,ms0002_pho_0127.tif,,ms0002_pho_0127.tif,,UC Santa Cruz: first registration day,http://id.loc.gov/authorities/names/n79056359,,1965-09-28,1965-09-28,http://id.loc.gov/authorities/subjects/sh85028356,,,http://purl.org/dc/dcmitype/Image,http://vocab.getty.edu/aat/300128695,8 x 10 in,"Chancellor's Memo, July 1965: ""Over 600 students will begin orientation and registration on Tuesday and Wednesday, September 28-29 with sixty members of the faculty on hand to welcome and counsel. Instruction will start on Monday, October 4. Of the initial student group, 500 will be freshmen, most of the remainder juniors, but a half dozen will be graduate students. Over 500 students have requested University housing in the fall, causing the Business Services and Physical Planning offices to make arrangements for two additional clusters of trailers with total accommodations for 512 students.""  This image is duplicated in ms0002_pho_0113, ms0002_pho_0115, ms0002_pho_0128, ms0002_pho_0129, ms0002_pho_0130, ms0002_pho_0131, ms0002_pho_0149,ms0002_pho_0161, and ms0002_pho_0397.",,,,,,,Box 1,ms0002_pho_0127
work,row:2,ms0002_pho_0075.tif,,ms0002_pho_0075.tif,,Wild mushrooms,http://id.loc.gov/authorities/names/n79056359,,1962-1968,1962; 1963; 1964; 1965; 1966; 1967; 1968,http://id.loc.gov/authorities/subjects/sh85088751,,,http://purl.org/dc/dcmitype/Image,http://vocab.getty.edu/aat/300128695,6 3/4 x 9 1/2 in,"Note on verso: """"4 - UCSC - 37"""". This image is duplicated in ms0002_pho_0305, and ms0002_pho_0476.",,,,,,,Box 1,ms0002_pho_0075
work,row:2,ms0002_pho_0074.tif,,ms0002_pho_0074.tif,,Wild mushrooms,http://id.loc.gov/authorities/names/n79056359,,1962-1968,1962; 1963; 1964; 1965; 1966; 1967; 1968,http://id.loc.gov/authorities/subjects/sh85088751,,,http://purl.org/dc/dcmitype/Image,http://vocab.getty.edu/aat/300128695,6 3/4 x 9 1/4 in,"Note on verso: """"4 - UCSC - 37"""". This image is duplicated in ms0002_pho_0383.",,,,,,,Box 1,ms0002_pho_0074
