filename,collectionCallNumber,collection,series,accessionNumber,boxFolder,title,titleAlternative,subSeries,description,dateCreated,datePublished,creator,physicalDescription,physicalFormat,subjectPlace,subjectName,subjectTopic,resourceType,publisher,publisherHomepage,donorProvenance,rightsStatement,rightsHolder,accessRights,theme,masterFilename
ms0020_neg_5702a_08.tif,MS 20,Ruth-Marion Baruch and Pirkle Jones Photographs,Miscellaneous,ms0020_neg_5702a_08,"Box 463, Folder 5702",Untitled,,Tiburon,Unprinted/unpublished,1957,,http://id.loc.gov/authorities/names/n2002034393,35 mm,http://vocab.getty.edu/aat/300128343,http://www.geonames.org/5402535,,,http://purl.org/dc/dcmitype/Image,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, California, 95064. (831) 459-2547. speccoll@library.ucsc.edu",https://guides.library.ucsc.edu/speccoll,The Pirkle Jones Fund of the Marin Community Foundation,"Copyright for this collection resides with the Regents of the University of California. The publication or use of any work protected by copyright beyond that allowed by fair use for research or educational purposes requires written permission from the copyright owner. UCSC Special Collections and Archives can grant permission to publish materials to which it holds the copyright. For permission to reproduce or publish the material, or to order a reproduction, please visit guides.library.ucsc.edu/speccoll/reproduction-publication.",Regents of the University of California,Public,Photography Collections,ms0020_neg_5702a_08.tif
ms0020_neg_5702a_09.tif,MS 20,Ruth-Marion Baruch and Pirkle Jones Photographs,Miscellaneous,ms0020_neg_5702a_09,"Box 463, Folder 5702",Untitled,,Tiburon,Unprinted/unpublished,1957,,http://id.loc.gov/authorities/names/n2002034393,35 mm,http://vocab.getty.edu/aat/300128343,http://www.geonames.org/5402535,,,http://purl.org/dc/dcmitype/Image,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, California, 95064. (831) 459-2547. speccoll@library.ucsc.edu",https://guides.library.ucsc.edu/speccoll,The Pirkle Jones Fund of the Marin Community Foundation,"Copyright for this collection resides with the Regents of the University of California. The publication or use of any work protected by copyright beyond that allowed by fair use for research or educational purposes requires written permission from the copyright owner. UCSC Special Collections and Archives can grant permission to publish materials to which it holds the copyright. For permission to reproduce or publish the material, or to order a reproduction, please visit guides.library.ucsc.edu/speccoll/reproduction-publication.",Regents of the University of California,Public,Photography Collections,ms0020_neg_5702a_09.tif
ms0020_neg_6130_01.tif,MS 20,Ruth-Marion Baruch and Pirkle Jones Photographs,People,ms0020_neg_6130_01,"Box 465, Folder 6130",Untitled,,"Dr. & Mrs. Norman Steiner's children, referral by Alice Boyd Adam",Unprinted/unpublished,1961,,http://id.loc.gov/authorities/names/n2002034393,35 mm,http://vocab.getty.edu/aat/300128343,http://www.geonames.org/5370506,,,http://purl.org/dc/dcmitype/Image,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, California, 95064. (831) 459-2547. speccoll@library.ucsc.edu",https://guides.library.ucsc.edu/speccoll,The Pirkle Jones Fund of the Marin Community Foundation,"Copyright for this collection resides with the Regents of the University of California. The publication or use of any work protected by copyright beyond that allowed by fair use for research or educational purposes requires written permission from the copyright owner. UCSC Special Collections and Archives can grant permission to publish materials to which it holds the copyright. For permission to reproduce or publish the material, or to order a reproduction, please visit guides.library.ucsc.edu/speccoll/reproduction-publication.",Regents of the University of California,Public,Photography Collections,ms0020_neg_6130_01.tif
ms0020_neg_6130_02.tif,MS 20,Ruth-Marion Baruch and Pirkle Jones Photographs,People,ms0020_neg_6130_02,"Box 465, Folder 6130",Untitled,,"Dr. & Mrs. Norman Steiner's children, referral by Alice Boyd Adam",Unprinted/unpublished,1961,,http://id.loc.gov/authorities/names/n2002034393,35 mm,http://vocab.getty.edu/aat/300128343,http://www.geonames.org/5370506,,,http://purl.org/dc/dcmitype/Image,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, California, 95064. (831) 459-2547. speccoll@library.ucsc.edu",https://guides.library.ucsc.edu/speccoll,The Pirkle Jones Fund of the Marin Community Foundation,"Copyright for this collection resides with the Regents of the University of California. The publication or use of any work protected by copyright beyond that allowed by fair use for research or educational purposes requires written permission from the copyright owner. UCSC Special Collections and Archives can grant permission to publish materials to which it holds the copyright. For permission to reproduce or publish the material, or to order a reproduction, please visit guides.library.ucsc.edu/speccoll/reproduction-publication.",Regents of the University of California,Public,Photography Collections,ms0020_neg_6130_02.tif
ms0020_neg_6130_03.tif,MS 20,Ruth-Marion Baruch and Pirkle Jones Photographs,People,ms0020_neg_6130_03,"Box 465, Folder 6130",Untitled,,"Dr. & Mrs. Norman Steiner's children, referral by Alice Boyd Adam",Unprinted/unpublished,1961,,http://id.loc.gov/authorities/names/n2002034393,35 mm,http://vocab.getty.edu/aat/300128343,http://www.geonames.org/5370506,,,http://purl.org/dc/dcmitype/Image,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, California, 95064. (831) 459-2547. speccoll@library.ucsc.edu",https://guides.library.ucsc.edu/speccoll,The Pirkle Jones Fund of the Marin Community Foundation,"Copyright for this collection resides with the Regents of the University of California. The publication or use of any work protected by copyright beyond that allowed by fair use for research or educational purposes requires written permission from the copyright owner. UCSC Special Collections and Archives can grant permission to publish materials to which it holds the copyright. For permission to reproduce or publish the material, or to order a reproduction, please visit guides.library.ucsc.edu/speccoll/reproduction-publication.",Regents of the University of California,Public,Photography Collections,ms0020_neg_6130_03.tif
ms0020_neg_6130_04.tif,MS 20,Ruth-Marion Baruch and Pirkle Jones Photographs,People,ms0020_neg_6130_04,"Box 465, Folder 6130",Untitled,,"Dr. & Mrs. Norman Steiner's children, referral by Alice Boyd Adam",Unprinted/unpublished,1961,,http://id.loc.gov/authorities/names/n2002034393,35 mm,http://vocab.getty.edu/aat/300128343,http://www.geonames.org/5370506,,,http://purl.org/dc/dcmitype/Image,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, California, 95064. (831) 459-2547. speccoll@library.ucsc.edu",https://guides.library.ucsc.edu/speccoll,The Pirkle Jones Fund of the Marin Community Foundation,"Copyright for this collection resides with the Regents of the University of California. The publication or use of any work protected by copyright beyond that allowed by fair use for research or educational purposes requires written permission from the copyright owner. UCSC Special Collections and Archives can grant permission to publish materials to which it holds the copyright. For permission to reproduce or publish the material, or to order a reproduction, please visit guides.library.ucsc.edu/speccoll/reproduction-publication.",Regents of the University of California,Public,Photography Collections,ms0020_neg_6130_04.tif
ms0020_neg_6130_05.tif,MS 20,Ruth-Marion Baruch and Pirkle Jones Photographs,People,ms0020_neg_6130_05,"Box 465, Folder 6130",Untitled,,"Dr. & Mrs. Norman Steiner's children, referral by Alice Boyd Adam",Unprinted/unpublished,1961,,http://id.loc.gov/authorities/names/n2002034393,35 mm,http://vocab.getty.edu/aat/300128343,http://www.geonames.org/5370506,,,http://purl.org/dc/dcmitype/Image,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, California, 95064. (831) 459-2547. speccoll@library.ucsc.edu",https://guides.library.ucsc.edu/speccoll,The Pirkle Jones Fund of the Marin Community Foundation,"Copyright for this collection resides with the Regents of the University of California. The publication or use of any work protected by copyright beyond that allowed by fair use for research or educational purposes requires written permission from the copyright owner. UCSC Special Collections and Archives can grant permission to publish materials to which it holds the copyright. For permission to reproduce or publish the material, or to order a reproduction, please visit guides.library.ucsc.edu/speccoll/reproduction-publication.",Regents of the University of California,Public,Photography Collections,ms0020_neg_6130_05.tif
ms0020_neg_6130_06.tif,MS 20,Ruth-Marion Baruch and Pirkle Jones Photographs,People,ms0020_neg_6130_06,"Box 465, Folder 6130",Untitled,,"Dr. & Mrs. Norman Steiner's children, referral by Alice Boyd Adam",Unprinted/unpublished,1961,,http://id.loc.gov/authorities/names/n2002034393,35 mm,http://vocab.getty.edu/aat/300128343,http://www.geonames.org/5370506,,,http://purl.org/dc/dcmitype/Image,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, California, 95064. (831) 459-2547. speccoll@library.ucsc.edu",https://guides.library.ucsc.edu/speccoll,The Pirkle Jones Fund of the Marin Community Foundation,"Copyright for this collection resides with the Regents of the University of California. The publication or use of any work protected by copyright beyond that allowed by fair use for research or educational purposes requires written permission from the copyright owner. UCSC Special Collections and Archives can grant permission to publish materials to which it holds the copyright. For permission to reproduce or publish the material, or to order a reproduction, please visit guides.library.ucsc.edu/speccoll/reproduction-publication.",Regents of the University of California,Public,Photography Collections,ms0020_neg_6130_06.tif
ms0020_neg_6130_07.tif,MS 20,Ruth-Marion Baruch and Pirkle Jones Photographs,People,ms0020_neg_6130_07,"Box 465, Folder 6130",Untitled,,"Dr. & Mrs. Norman Steiner's children, referral by Alice Boyd Adam",Unprinted/unpublished,1961,,http://id.loc.gov/authorities/names/n2002034393,35 mm,http://vocab.getty.edu/aat/300128343,http://www.geonames.org/5370506,,,http://purl.org/dc/dcmitype/Image,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, California, 95064. (831) 459-2547. speccoll@library.ucsc.edu",https://guides.library.ucsc.edu/speccoll,The Pirkle Jones Fund of the Marin Community Foundation,"Copyright for this collection resides with the Regents of the University of California. The publication or use of any work protected by copyright beyond that allowed by fair use for research or educational purposes requires written permission from the copyright owner. UCSC Special Collections and Archives can grant permission to publish materials to which it holds the copyright. For permission to reproduce or publish the material, or to order a reproduction, please visit guides.library.ucsc.edu/speccoll/reproduction-publication.",Regents of the University of California,Public,Photography Collections,ms0020_neg_6130_07.tif
ms0020_neg_6130_08.tif,MS 20,Ruth-Marion Baruch and Pirkle Jones Photographs,People,ms0020_neg_6130_08,"Box 465, Folder 6130",Untitled,,"Dr. & Mrs. Norman Steiner's children, referral by Alice Boyd Adam",Unprinted/unpublished,1961,,http://id.loc.gov/authorities/names/n2002034393,35 mm,http://vocab.getty.edu/aat/300128343,http://www.geonames.org/5370506,,,http://purl.org/dc/dcmitype/Image,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, California, 95064. (831) 459-2547. speccoll@library.ucsc.edu",https://guides.library.ucsc.edu/speccoll,The Pirkle Jones Fund of the Marin Community Foundation,"Copyright for this collection resides with the Regents of the University of California. The publication or use of any work protected by copyright beyond that allowed by fair use for research or educational purposes requires written permission from the copyright owner. UCSC Special Collections and Archives can grant permission to publish materials to which it holds the copyright. For permission to reproduce or publish the material, or to order a reproduction, please visit guides.library.ucsc.edu/speccoll/reproduction-publication.",Regents of the University of California,Public,Photography Collections,ms0020_neg_6130_08.tif
ms0020_neg_6130_09.tif,MS 20,Ruth-Marion Baruch and Pirkle Jones Photographs,People,ms0020_neg_6130_09,"Box 465, Folder 6130",Untitled,,"Dr. & Mrs. Norman Steiner's children, referral by Alice Boyd Adam",Unprinted/unpublished,1961,,http://id.loc.gov/authorities/names/n2002034393,35 mm,http://vocab.getty.edu/aat/300128343,http://www.geonames.org/5370506,,,http://purl.org/dc/dcmitype/Image,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, California, 95064. (831) 459-2547. speccoll@library.ucsc.edu",https://guides.library.ucsc.edu/speccoll,The Pirkle Jones Fund of the Marin Community Foundation,"Copyright for this collection resides with the Regents of the University of California. The publication or use of any work protected by copyright beyond that allowed by fair use for research or educational purposes requires written permission from the copyright owner. UCSC Special Collections and Archives can grant permission to publish materials to which it holds the copyright. For permission to reproduce or publish the material, or to order a reproduction, please visit guides.library.ucsc.edu/speccoll/reproduction-publication.",Regents of the University of California,Public,Photography Collections,ms0020_neg_6130_09.tif
ms0020_neg_6130_10.tif,MS 20,Ruth-Marion Baruch and Pirkle Jones Photographs,People,ms0020_neg_6130_10,"Box 465, Folder 6130",Untitled,,"Dr. & Mrs. Norman Steiner's children, referral by Alice Boyd Adam",Unprinted/unpublished,1961,,http://id.loc.gov/authorities/names/n2002034393,35 mm,http://vocab.getty.edu/aat/300128343,http://www.geonames.org/5370506,,,http://purl.org/dc/dcmitype/Image,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, California, 95064. (831) 459-2547. speccoll@library.ucsc.edu",https://guides.library.ucsc.edu/speccoll,The Pirkle Jones Fund of the Marin Community Foundation,"Copyright for this collection resides with the Regents of the University of California. The publication or use of any work protected by copyright beyond that allowed by fair use for research or educational purposes requires written permission from the copyright owner. UCSC Special Collections and Archives can grant permission to publish materials to which it holds the copyright. For permission to reproduce or publish the material, or to order a reproduction, please visit guides.library.ucsc.edu/speccoll/reproduction-publication.",Regents of the University of California,Public,Photography Collections,ms0020_neg_6130_10.tif
ms0020_neg_6130_11.tif,MS 20,Ruth-Marion Baruch and Pirkle Jones Photographs,People,ms0020_neg_6130_11,"Box 465, Folder 6130",Untitled,,"Dr. & Mrs. Norman Steiner's children, referral by Alice Boyd Adam",Unprinted/unpublished,1961,,http://id.loc.gov/authorities/names/n2002034393,35 mm,http://vocab.getty.edu/aat/300128343,http://www.geonames.org/5370506,,,http://purl.org/dc/dcmitype/Image,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, California, 95064. (831) 459-2547. speccoll@library.ucsc.edu",https://guides.library.ucsc.edu/speccoll,The Pirkle Jones Fund of the Marin Community Foundation,"Copyright for this collection resides with the Regents of the University of California. The publication or use of any work protected by copyright beyond that allowed by fair use for research or educational purposes requires written permission from the copyright owner. UCSC Special Collections and Archives can grant permission to publish materials to which it holds the copyright. For permission to reproduce or publish the material, or to order a reproduction, please visit guides.library.ucsc.edu/speccoll/reproduction-publication.",Regents of the University of California,Public,Photography Collections,ms0020_neg_6130_11.tif
ms0020_neg_6130_12.tif,MS 20,Ruth-Marion Baruch and Pirkle Jones Photographs,People,ms0020_neg_6130_12,"Box 465, Folder 6130",Untitled,,"Dr. & Mrs. Norman Steiner's children, referral by Alice Boyd Adam",Unprinted/unpublished,1961,,http://id.loc.gov/authorities/names/n2002034393,35 mm,http://vocab.getty.edu/aat/300128343,http://www.geonames.org/5370506,,,http://purl.org/dc/dcmitype/Image,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, California, 95064. (831) 459-2547. speccoll@library.ucsc.edu",https://guides.library.ucsc.edu/speccoll,The Pirkle Jones Fund of the Marin Community Foundation,"Copyright for this collection resides with the Regents of the University of California. The publication or use of any work protected by copyright beyond that allowed by fair use for research or educational purposes requires written permission from the copyright owner. UCSC Special Collections and Archives can grant permission to publish materials to which it holds the copyright. For permission to reproduce or publish the material, or to order a reproduction, please visit guides.library.ucsc.edu/speccoll/reproduction-publication.",Regents of the University of California,Public,Photography Collections,ms0020_neg_6130_12.tif
ms0020_neg_6130_13.tif,MS 20,Ruth-Marion Baruch and Pirkle Jones Photographs,People,ms0020_neg_6130_13,"Box 465, Folder 6130",Untitled,,"Dr. & Mrs. Norman Steiner's children, referral by Alice Boyd Adam",Unprinted/unpublished,1961,,http://id.loc.gov/authorities/names/n2002034393,35 mm,http://vocab.getty.edu/aat/300128343,http://www.geonames.org/5370506,,,http://purl.org/dc/dcmitype/Image,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, California, 95064. (831) 459-2547. speccoll@library.ucsc.edu",https://guides.library.ucsc.edu/speccoll,The Pirkle Jones Fund of the Marin Community Foundation,"Copyright for this collection resides with the Regents of the University of California. The publication or use of any work protected by copyright beyond that allowed by fair use for research or educational purposes requires written permission from the copyright owner. UCSC Special Collections and Archives can grant permission to publish materials to which it holds the copyright. For permission to reproduce or publish the material, or to order a reproduction, please visit guides.library.ucsc.edu/speccoll/reproduction-publication.",Regents of the University of California,Public,Photography Collections,ms0020_neg_6130_13.tif
ms0020_neg_6130_14.tif,MS 20,Ruth-Marion Baruch and Pirkle Jones Photographs,People,ms0020_neg_6130_14,"Box 465, Folder 6130",Untitled,,"Dr. & Mrs. Norman Steiner's children, referral by Alice Boyd Adam",Unprinted/unpublished,1961,,http://id.loc.gov/authorities/names/n2002034393,35 mm,http://vocab.getty.edu/aat/300128343,http://www.geonames.org/5370506,,,http://purl.org/dc/dcmitype/Image,"University of California, Santa Cruz. McHenry Library, Special Collections. 1156 High Street. Santa Cruz, California, 95064. (831) 459-2547. speccoll@library.ucsc.edu",https://guides.library.ucsc.edu/speccoll,The Pirkle Jones Fund of the Marin Community Foundation,"Copyright for this collection resides with the Regents of the University of California. The publication or use of any work protected by copyright beyond that allowed by fair use for research or educational purposes requires written permission from the copyright owner. UCSC Special Collections and Archives can grant permission to publish materials to which it holds the copyright. For permission to reproduce or publish the material, or to order a reproduction, please visit guides.library.ucsc.edu/speccoll/reproduction-publication.",Regents of the University of California,Public,Photography Collections,ms0020_neg_6130_14.tif
